corridor,matched_interval_count,mae_mph,mape_pct,mape_interval_count,rmse_mph,mean_bias_mph,wmape_pct,r_squared,cube_vs_observed_matched_interval_count,cube_vs_observed_mae_mph,cube_vs_observed_mape_pct,cube_vs_observed_mape_interval_count,cube_vs_observed_rmse_mph,cube_vs_observed_mean_bias_mph,cube_vs_observed_wmape_pct,cube_vs_observed_r_squared,taplite_vs_cube_matched_interval_count,taplite_vs_cube_mae_mph,taplite_vs_cube_mape_pct,taplite_vs_cube_mape_interval_count,taplite_vs_cube_rmse_mph,taplite_vs_cube_mean_bias_mph,taplite_vs_cube_wmape_pct,taplite_vs_cube_r_squared,congestion_valid_interval_count,observed_congestion_duration_min,model_congestion_duration_min,congestion_duration_error_min,congestion_duration_absolute_error_min,congestion_duration_ape_pct,congestion_overlap_min,congestion_union_min,congestion_iou_pct,congestion_precision_pct,congestion_recall_pct,congestion_f1_pct,congestion_interval_accuracy_pct,observed_congestion_episode_count,model_congestion_episode_count,observed_first_congestion_start_min,model_first_congestion_start_min,congestion_onset_error_min,observed_last_congestion_end_min,model_last_congestion_end_min,congestion_clearance_error_min,cube_vs_observed_congestion_valid_interval_count,cube_vs_observed_observed_congestion_duration_min,cube_vs_observed_model_congestion_duration_min,cube_vs_observed_congestion_duration_error_min,cube_vs_observed_congestion_duration_absolute_error_min,cube_vs_observed_congestion_duration_ape_pct,cube_vs_observed_congestion_overlap_min,cube_vs_observed_congestion_union_min,cube_vs_observed_congestion_iou_pct,cube_vs_observed_congestion_precision_pct,cube_vs_observed_congestion_recall_pct,cube_vs_observed_congestion_f1_pct,cube_vs_observed_congestion_interval_accuracy_pct,cube_vs_observed_observed_congestion_episode_count,cube_vs_observed_model_congestion_episode_count,cube_vs_observed_observed_first_congestion_start_min,cube_vs_observed_model_first_congestion_start_min,cube_vs_observed_congestion_onset_error_min,cube_vs_observed_observed_last_congestion_end_min,cube_vs_observed_model_last_congestion_end_min,cube_vs_observed_congestion_clearance_error_min,mean_observed_speed_mph,mean_model_speed_mph,mean_cube_qvdf_speed_mph,mean_observed_length_coverage_pct,mean_model_length_coverage_pct,mean_cube_qvdf_length_coverage_pct,periods_with_matched_intervals,periods_with_cube_matched_intervals,expected_interval_count,matched_interval_coverage_pct,minimum_tmc_mapping_coverage_pct,minimum_tmc_comparison_coverage_pct,minimum_qa_matched_share_of_mapped_pct,minimum_gmns_link_count_used,maximum_gmns_link_count_used,minimum_cube_qvdf_link_count_available,maximum_taplite_zero_cube_positive_link_count,result_status
BROADLANDSBLVD_EB,52,2.311601,6.310516,52,2.460495,2.311601,6.289289,0.308147,52,3.235582,8.836422,52,3.466777,2.206562,8.803209,0.007808,52,1.642861,4.575041,52,2.541309,0.105039,4.216667,0.068883,52,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,52,0,30,30,30,,0,30,0.000000,0.000000,,,96.153846,0,1,,705.000000,,,735.000000,,36.754574,39.066175,38.961136,100.000000,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,50.000000,2.000000,2.000000,2.000000,0.000000,complete
BROADLANDSBLVD_WB,52,0.704041,1.956211,52,0.840336,0.458851,1.955240,0.252875,52,1.626262,4.519295,52,1.935970,0.735100,4.516403,0.037306,52,1.227995,3.469539,52,1.675307,-0.276249,3.342121,0.172043,52,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,52,0,30,30,30,,0,30,0.000000,0.000000,,,96.153846,0,2,,720.000000,,,1035.000000,,36.007896,36.466747,36.742997,100.000000,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,50.000000,2.000000,2.000000,2.000000,0.000000,complete
FAULKNERPKWY_EB,52,0.620019,1.826146,52,0.734220,-0.410451,1.832436,0.362692,52,3.391396,10.049254,52,4.735741,-3.372482,10.023110,0.093917,52,2.972353,11.336335,52,4.529899,2.962031,9.757166,0.028293,52,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,52,0,345,345,345,,0,345,0.000000,0.000000,,,55.769231,0,3,,420.000000,,,1080.000000,,33.835762,33.425311,30.463280,100.000000,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,0.000000,3.000000,3.000000,3.000000,0.000000,complete
FAULKNERPKWY_WB,52,0.514425,1.525707,52,0.617556,-0.119255,1.525204,0.112951,52,4.029158,11.921325,52,5.491924,-3.885593,11.945935,0.001057,52,3.767485,14.639945,52,5.328811,3.766338,12.624486,0.026225,52,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,52,0,390,390,390,,0,390,0.000000,0.000000,,,50.000000,0,3,,420.000000,,,1095.000000,,33.728274,33.609019,29.842681,100.000000,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,0.000000,1.000000,1.000000,1.000000,0.000000,complete
I395_NB,52,6.903711,14.387449,52,8.620370,-6.121659,15.138025,0.560687,52,9.820341,21.202577,52,13.345748,-9.450813,21.533428,0.307892,52,5.009820,17.961965,52,6.894702,3.329153,13.856779,0.692300,52,375,630,255,255,68.000000,345,660,52.272727,54.761905,92.000000,68.656716,59.615385,2,2,405.000000,435.000000,30.000000,1125.000000,1125.000000,0.000000,52,375,570,195,195,52.000000,360,585,61.538462,63.157895,96.000000,76.190476,71.153846,2,2,405.000000,420.000000,15.000000,1125.000000,1125.000000,0.000000,45.605099,39.483439,36.154286,98.760616,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,85.714286,31.000000,31.000000,31.000000,0.000000,complete
I395_SB,51,3.991785,8.326026,51,5.100447,-2.548796,7.495232,0.840200,51,11.432018,22.677107,51,15.329234,-10.633587,21.465490,0.426178,52,8.333096,28.838629,52,12.418683,8.094310,19.755017,0.593552,51,180,165,-15,15,8.333333,150,195,76.923077,90.909091,83.333333,86.956522,94.117647,2,2,915.000000,900.000000,-15.000000,1110.000000,1080.000000,-30.000000,51,180,360,180,180,100.000000,165,375,44.000000,45.833333,91.666667,61.111111,72.549020,2,4,915.000000,435.000000,-480.000000,1110.000000,1095.000000,-15.000000,53.257663,50.276485,42.182174,97.817283,100.000000,100.000000,3,3,52,98.076923,100.000000,100.000000,90.000000,35.000000,35.000000,35.000000,0.000000,partial_interval_coverage
I495_CCW,52,6.425149,13.098874,52,8.593861,-4.123701,13.266041,0.685203,52,12.933710,27.015415,52,16.976453,-12.355426,26.704304,0.415840,52,8.929735,35.105417,52,12.469392,8.231725,24.751447,0.584531,52,285,420,135,135,47.368421,285,420,67.857143,67.857143,100.000000,80.851064,82.692308,1,1,855.000000,720.000000,-135.000000,1140.000000,1140.000000,0.000000,52,285,570,285,285,100.000000,285,570,50.000000,50.000000,100.000000,66.666667,63.461538,1,2,855.000000,420.000000,-435.000000,1140.000000,1140.000000,0.000000,48.433055,44.309354,36.077629,97.175448,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,100.000000,53.000000,53.000000,53.000000,0.000000,complete
I495_CW,52,5.015868,11.178083,52,5.901894,-1.166216,11.144526,0.361781,52,10.036514,22.080184,52,13.098625,-9.198726,22.299668,0.188690,52,8.363477,31.085254,52,11.471145,8.032510,23.355970,0.337526,52,420,615,195,195,46.428571,360,675,53.333333,58.536585,85.714286,69.565217,59.615385,2,1,450.000000,465.000000,15.000000,1125.000000,1080.000000,-45.000000,52,420,645,225,225,53.571429,375,690,54.347826,58.139535,89.285714,70.422535,59.615385,2,2,450.000000,420.000000,-30.000000,1125.000000,1095.000000,-30.000000,45.007458,43.841242,35.808731,98.764702,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,100.000000,51.000000,51.000000,51.000000,0.000000,complete
I495_NB,52,2.237863,3.704762,52,2.761956,-1.069050,3.674251,0.632853,52,7.415094,12.251804,52,11.135037,-7.009558,12.174521,0.186144,52,7.145732,16.605515,52,10.693756,5.940508,13.258101,0.141603,52,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,52,0,225,225,225,,0,225,0.000000,0.000000,,,71.153846,0,3,,435.000000,,,1065.000000,,60.906657,59.837606,53.897098,98.830094,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,100.000000,31.000000,31.000000,31.000000,0.000000,complete
I495_SB,50,0.774279,1.139431,50,1.031027,-0.479011,1.145712,0.531322,50,7.059741,10.488034,50,11.296240,-6.957774,10.446402,0.076059,52,6.484451,13.634481,52,10.930980,6.213827,10.657391,0.015957,50,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,50,0,135,135,135,,0,135,0.000000,0.000000,,,82.000000,0,3,,435.000000,,,1050.000000,,67.580595,67.058465,60.844638,97.758803,100.000000,100.000000,3,3,52,96.153846,100.000000,100.000000,93.750000,32.000000,32.000000,32.000000,0.000000,partial_interval_coverage
I66_EB,52,4.357295,7.307427,52,4.996034,-1.840891,7.238279,0.027619,52,10.716173,17.585282,52,14.825889,-10.444611,17.801558,0.019385,52,8.994788,23.527062,52,12.920028,8.603720,18.078764,0.123165,52,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,52,0,315,315,315,,0,315,0.000000,0.000000,,,59.615385,0,3,,420.000000,,,1080.000000,,60.197947,58.357057,49.753336,97.855179,100.000000,100.000000,3,3,52,100.000000,70.175439,70.175439,90.000000,83.000000,105.000000,83.000000,0.000000,complete
I66_WB,52,2.022349,3.351462,52,2.803285,-1.333455,3.341433,0.883566,52,8.903358,15.051607,52,12.807558,-8.667654,14.710601,0.389117,52,7.808585,19.722252,52,11.385396,7.334199,15.058279,0.487182,52,0,75,75,75,,0,75,0.000000,0.000000,,,90.384615,0,1,,990.000000,,,1065.000000,,52,0,285,285,285,,0,285,0.000000,0.000000,,,63.461538,0,3,,435.000000,,,1125.000000,,60.523412,59.189958,51.855758,98.824714,100.000000,100.000000,3,3,52,100.000000,69.642857,69.642857,92.857143,91.000000,113.000000,91.000000,0.000000,complete
I95I495_EB,52,9.115793,21.612919,52,13.408005,-5.570447,21.148654,0.677590,52,10.812011,23.601587,52,16.193889,-9.897253,25.083884,0.638791,52,6.506645,26.325746,52,10.203795,4.326806,19.594690,0.773779,52,315,465,150,150,47.619048,315,465,67.741935,67.741935,100.000000,80.769231,80.769231,1,1,825.000000,675.000000,-150.000000,1140.000000,1140.000000,0.000000,52,315,555,240,240,76.190476,315,555,56.756757,56.756757,100.000000,72.413793,69.230769,1,2,825.000000,420.000000,-405.000000,1140.000000,1140.000000,0.000000,43.103418,37.532971,33.206165,99.172882,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,100.000000,8.000000,8.000000,8.000000,0.000000,complete
I95I495_WB,50,2.560877,4.501992,50,3.482473,1.485596,4.272008,0.270634,50,15.748067,26.452551,50,21.150923,-15.313887,26.270634,0.066082,52,17.183344,60.736153,52,22.767497,17.183344,38.847058,0.003390,50,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,50,0,360,360,360,,0,360,0.000000,0.000000,,,52.000000,0,3,,405.000000,,,1080.000000,,59.945516,61.416667,44.233322,97.905893,100.000000,100.000000,3,3,52,96.153846,100.000000,100.000000,100.000000,3.000000,3.000000,3.000000,0.000000,partial_interval_coverage
I95_NB,52,5.941092,11.191224,52,6.987709,-5.339241,11.014769,0.595585,52,15.772475,29.318404,52,19.089827,-15.492895,29.242127,0.104550,52,10.157162,34.710336,52,13.183959,10.153653,26.420248,0.496800,52,90,375,285,285,316.666667,90,375,24.000000,24.000000,100.000000,38.709677,63.461538,1,3,390.000000,375.000000,-15.000000,480.000000,1050.000000,570.000000,52,90,570,480,480,533.333333,90,570,15.789474,15.789474,100.000000,27.272727,38.461538,1,3,390.000000,375.000000,-15.000000,480.000000,1080.000000,600.000000,53.937509,48.598267,38.444614,96.997179,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,100.000000,41.000000,41.000000,41.000000,0.000000,complete
I95_SB,52,3.196497,7.025508,52,4.077992,0.420090,6.515243,0.912013,52,11.272868,23.785575,52,15.151215,-11.109162,22.976868,0.523351,52,11.783160,42.542145,52,16.375827,11.529252,31.046999,0.440560,52,330,360,30,30,9.090909,285,405,70.370370,79.166667,86.363636,82.608696,84.615385,2,1,675.000000,780.000000,105.000000,1140.000000,1140.000000,0.000000,52,330,585,255,255,77.272727,330,585,56.410256,56.410256,100.000000,72.131148,67.307692,2,2,675.000000,420.000000,-255.000000,1140.000000,1140.000000,0.000000,49.061816,49.481906,37.952654,96.762875,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,100.000000,37.000000,37.000000,37.000000,0.000000,complete
SHELLHORNRD_EB,52,2.036978,5.066691,52,2.196157,-1.998775,5.084410,0.164460,52,7.970327,19.889590,52,9.104466,-7.970327,19.894378,0.018338,52,5.971552,20.958100,52,7.427004,5.971552,18.607089,0.014769,52,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,52,0,360,360,360,,0,360,0.000000,0.000000,,,53.846154,0,3,,420.000000,,,1080.000000,,40.063216,38.064441,32.092888,100.000000,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,50.000000,2.000000,2.000000,2.000000,0.000000,complete
SHELLHORNRD_WB,48,1.527671,3.891365,48,1.763745,-1.105910,3.903284,0.026095,48,5.748928,14.600063,48,6.971890,-5.748928,14.688831,0.000047,52,4.625667,15.259305,52,5.885073,4.625667,13.834694,0.021090,48,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,48,0,255,255,255,,0,255,0.000000,0.000000,,,64.583333,0,3,,420.000000,,,1065.000000,,39.138087,38.060938,33.435271,96.435521,100.000000,100.000000,3,3,52,92.307692,100.000000,100.000000,0.000000,3.000000,3.000000,3.000000,0.000000,partial_interval_coverage
US15_NB,52,2.873863,7.388570,52,3.315596,-0.478244,7.185903,0.565229,52,3.299103,8.517964,52,4.378107,-2.364461,8.249186,0.646576,52,3.145365,9.542446,52,4.216868,1.886217,8.358972,0.626945,52,210,195,-15,15,7.142857,120,285,42.105263,61.538462,57.142857,59.259259,78.846154,1,1,885.000000,810.000000,-75.000000,1095.000000,1005.000000,-90.000000,52,210,300,90,90,42.857143,180,330,54.545455,60.000000,85.714286,70.588235,80.769231,1,3,885.000000,435.000000,-450.000000,1095.000000,1065.000000,-30.000000,39.993068,39.514825,37.628608,97.602064,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,86.666667,55.000000,55.000000,55.000000,0.000000,complete
US15_SB,52,1.877979,4.470358,52,2.241238,-0.580340,4.482867,0.238693,52,2.834089,6.690311,52,4.040091,-2.213779,6.765169,0.156695,52,2.217815,6.199478,52,3.379521,1.633439,5.589453,0.303840,52,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,52,0,165,165,165,,0,165,0.000000,0.000000,,,78.846154,0,3,,435.000000,,,1050.000000,,41.892357,41.312017,39.678578,96.890060,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,80.000000,55.000000,55.000000,55.000000,0.000000,complete
US1_NB,52,0.793715,2.554784,52,1.119676,0.121259,2.510065,0.674699,52,1.911384,6.038759,52,2.395571,1.135480,6.044610,0.614546,52,1.703618,5.073640,52,2.276642,-1.014221,5.200811,0.566697,52,570,555,-15,15,2.631579,525,600,87.500000,94.594595,92.105263,93.333333,90.384615,2,2,420.000000,465.000000,45.000000,1140.000000,1140.000000,0.000000,52,570,390,-180,180,31.578947,390,570,68.421053,100.000000,68.421053,81.250000,76.923077,2,4,420.000000,435.000000,15.000000,1140.000000,1140.000000,0.000000,31.621290,31.742549,32.756770,97.721961,100.000000,100.000000,3,3,52,100.000000,89.189189,89.189189,91.891892,102.000000,112.000000,102.000000,0.000000,complete
US1_SB,52,0.899044,3.038738,52,0.994721,0.119460,2.964649,0.911093,52,1.809378,5.917155,52,2.200113,1.667868,5.966528,0.863226,52,1.800431,5.316908,52,2.388403,-1.548408,5.627517,0.779441,52,570,540,-30,30,5.263158,465,645,72.093023,86.111111,81.578947,83.783784,76.923077,3,1,465.000000,600.000000,135.000000,1140.000000,1140.000000,0.000000,52,570,375,-195,195,34.210526,345,600,57.500000,92.000000,60.526316,73.015873,67.307692,3,3,465.000000,435.000000,-30.000000,1140.000000,1140.000000,0.000000,30.325474,30.444934,31.993342,98.450588,100.000000,100.000000,3,3,52,100.000000,86.111111,86.111111,91.666667,101.000000,111.000000,101.000000,0.000000,complete
US29_NB,52,1.002376,3.324288,52,1.168948,-0.634450,3.315358,0.660963,52,1.109407,3.689032,52,1.454134,0.017319,3.669361,0.529759,52,1.347384,4.480935,52,1.636002,-0.651769,4.453917,0.500205,52,735,720,-15,15,2.040816,720,735,97.959184,100.000000,97.959184,98.969072,98.076923,1,1,405.000000,420.000000,15.000000,1140.000000,1140.000000,0.000000,52,735,720,-15,15,2.040816,720,735,97.959184,100.000000,97.959184,98.969072,98.076923,1,1,405.000000,420.000000,15.000000,1140.000000,1140.000000,0.000000,30.234339,29.599890,30.251659,97.907983,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,97.826087,128.000000,128.000000,128.000000,0.000000,complete
US29_SB,52,0.619620,2.159796,52,0.798837,-0.044531,2.096058,0.928138,52,2.013086,6.772245,52,2.541459,1.411552,6.809888,0.763237,52,1.772847,5.393155,52,2.386929,-1.456083,5.723888,0.772956,52,705,675,-30,30,4.255319,675,705,95.744681,100.000000,95.744681,97.826087,96.153846,1,1,435.000000,465.000000,30.000000,1140.000000,1140.000000,0.000000,52,705,465,-240,240,34.042553,465,705,65.957447,100.000000,65.957447,79.487179,69.230769,1,4,435.000000,435.000000,0.000000,1140.000000,1140.000000,0.000000,29.561225,29.516694,30.972777,98.594638,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,95.833333,125.000000,125.000000,125.000000,0.000000,complete
US340_EB,52,1.197274,3.622759,52,1.775312,0.222136,3.578740,0.397641,52,3.262991,9.909024,52,4.337000,-0.743659,9.753319,0.329076,52,2.995675,10.387593,52,3.929571,0.965796,9.157857,0.435711,52,195,195,0,0,0.000000,150,240,62.500000,76.923077,76.923077,76.923077,88.461538,3,1,465.000000,840.000000,375.000000,1020.000000,1035.000000,15.000000,52,195,315,120,120,61.538462,150,360,41.666667,47.619048,76.923077,58.823529,73.076923,3,3,465.000000,420.000000,-45.000000,1020.000000,1065.000000,45.000000,33.455191,33.677327,32.711531,100.000000,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,0.000000,1.000000,1.000000,1.000000,0.000000,complete
US340_WB,52,1.019353,2.829574,52,1.430798,0.859032,2.704206,0.743333,52,2.476899,6.514305,52,3.513707,-0.404177,6.570878,0.171273,52,2.743821,8.055864,52,3.909143,1.263209,7.357879,0.076928,52,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,52,0,105,105,105,,0,105,0.000000,0.000000,,,86.538462,0,2,,435.000000,,,765.000000,,37.695102,38.554135,37.290925,100.000000,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,0.000000,1.000000,1.000000,1.000000,0.000000,complete
US50_EB,52,0.933397,2.758681,52,1.080731,0.021261,2.777045,0.670184,52,1.425648,4.279935,52,1.687767,0.309984,4.241590,0.598884,52,1.560895,4.712524,52,2.027131,-0.288722,4.601540,0.405551,52,330,300,-30,30,9.090909,210,420,50.000000,70.000000,63.636364,66.666667,73.076923,2,3,450.000000,480.000000,30.000000,1125.000000,1095.000000,-30.000000,52,330,240,-90,90,27.272727,165,405,40.740741,68.750000,50.000000,57.894737,69.230769,2,4,450.000000,435.000000,-15.000000,1125.000000,1080.000000,-45.000000,33.611158,33.632420,33.921142,98.295399,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,98.039216,114.000000,114.000000,114.000000,0.000000,complete
US50_WB,52,1.016745,2.871667,52,1.188978,-0.745785,2.871895,0.852935,52,1.440213,4.151098,52,2.061056,-0.618085,4.068018,0.699454,52,1.452096,4.303126,52,1.893822,-0.127700,4.174464,0.708661,52,165,165,0,0,0.000000,165,165,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,930.000000,930.000000,0.000000,1095.000000,1095.000000,0.000000,52,165,210,45,45,27.272727,150,225,66.666667,71.428571,90.909091,80.000000,90.384615,1,3,930.000000,450.000000,-480.000000,1095.000000,1095.000000,0.000000,35.403296,34.657510,34.785210,98.590608,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,98.000000,113.000000,113.000000,113.000000,0.000000,complete
VA110_NB,49,1.346209,3.080179,49,1.652742,0.986711,3.040847,0.425674,49,6.696548,15.096181,49,9.601632,-3.751820,15.126319,0.009883,52,7.051099,25.165953,52,10.596614,5.292771,17.655108,0.012138,49,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,49,0,210,210,210,,0,210,0.000000,0.000000,,,71.428571,0,4,,420.000000,,,1065.000000,,44.270837,45.230782,39.938011,98.200048,100.000000,100.000000,3,3,52,94.230769,100.000000,100.000000,80.000000,6.000000,6.000000,6.000000,0.000000,partial_interval_coverage
VA110_SB,50,1.085178,2.313397,50,1.202169,1.061639,2.328087,0.910748,50,7.842045,16.962620,50,11.641739,-6.501472,16.823943,0.184805,52,8.460325,31.506620,52,12.683531,8.008024,21.285566,0.071911,50,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,50,0,225,225,225,,0,225,0.000000,0.000000,,,70.000000,0,3,,450.000000,,,1065.000000,,46.612407,47.754795,39.746771,98.918355,100.000000,100.000000,3,3,52,96.153846,100.000000,100.000000,100.000000,6.000000,6.000000,6.000000,0.000000,partial_interval_coverage
VA120_NB,52,1.289814,5.628996,52,1.464036,-0.087450,5.595073,0.227661,52,3.952671,17.228252,52,4.671971,3.867204,17.146263,0.156833,52,3.954655,13.785599,52,5.032530,-3.954655,14.690465,0.002240,52,780,780,0,0,0.000000,780,780,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,360.000000,360.000000,0.000000,1140.000000,1140.000000,0.000000,52,780,720,-60,60,7.692308,720,780,92.307692,100.000000,92.307692,96.000000,92.307692,1,3,360.000000,360.000000,0.000000,1140.000000,1140.000000,0.000000,23.052669,22.965219,26.919874,98.296465,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,100.000000,61.000000,61.000000,61.000000,0.000000,complete
VA120_SB,52,0.792937,3.391646,52,0.902985,-0.431217,3.432886,0.776345,52,3.699643,15.898165,52,4.621959,3.654076,16.016972,0.380762,52,4.085293,14.039774,52,5.246166,-4.085293,15.270785,0.128509,52,780,780,0,0,0.000000,780,780,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,360.000000,360.000000,0.000000,1140.000000,1140.000000,0.000000,52,780,690,-90,90,11.538462,690,780,88.461538,100.000000,88.461538,93.877551,88.461538,1,3,360.000000,360.000000,0.000000,1140.000000,1140.000000,0.000000,23.098270,22.667053,26.752346,99.039872,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,88.235294,60.000000,60.000000,60.000000,0.000000,complete
VA123_NB,52,1.366733,4.338296,52,1.649837,-0.543364,4.368171,0.408154,52,1.287123,4.154360,52,1.564347,0.910983,4.113731,0.695832,52,1.878568,5.727786,52,2.427465,-1.454347,5.834163,0.332979,52,720,720,0,0,0.000000,720,720,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,420.000000,420.000000,0.000000,1140.000000,1140.000000,0.000000,52,720,585,-135,135,18.750000,585,720,81.250000,100.000000,81.250000,89.655172,82.692308,1,3,420.000000,420.000000,0.000000,1140.000000,1140.000000,0.000000,31.288452,30.745088,32.199436,97.795318,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,100.000000,108.000000,108.000000,108.000000,0.000000,complete
VA123_SB,52,1.249481,4.070183,52,1.513757,-1.042793,3.971642,0.919822,52,1.614630,5.132927,52,1.998992,0.523964,5.132316,0.879418,52,2.039300,6.030222,52,2.685559,-1.566757,6.375994,0.790416,52,600,645,45,45,7.500000,570,675,84.444444,88.372093,95.000000,91.566265,86.538462,3,1,465.000000,495.000000,30.000000,1140.000000,1140.000000,0.000000,52,600,435,-165,165,27.500000,390,645,60.465116,89.655172,65.000000,75.362319,67.307692,3,4,465.000000,435.000000,-30.000000,1140.000000,1140.000000,0.000000,31.460064,30.417272,31.984028,98.554185,100.000000,100.000000,3,3,52,100.000000,100.000000,100.000000,100.000000,108.000000,108.000000,108.000000,0.000000,complete
