corridor,period,matched_interval_count,mae_mph,mape_pct,mape_interval_count,rmse_mph,mean_bias_mph,wmape_pct,r_squared,cube_vs_observed_matched_interval_count,cube_vs_observed_mae_mph,cube_vs_observed_mape_pct,cube_vs_observed_mape_interval_count,cube_vs_observed_rmse_mph,cube_vs_observed_mean_bias_mph,cube_vs_observed_wmape_pct,cube_vs_observed_r_squared,taplite_vs_cube_matched_interval_count,taplite_vs_cube_mae_mph,taplite_vs_cube_mape_pct,taplite_vs_cube_mape_interval_count,taplite_vs_cube_rmse_mph,taplite_vs_cube_mean_bias_mph,taplite_vs_cube_wmape_pct,taplite_vs_cube_r_squared,congestion_valid_interval_count,observed_congestion_duration_min,model_congestion_duration_min,congestion_duration_error_min,congestion_duration_absolute_error_min,congestion_duration_ape_pct,congestion_overlap_min,congestion_union_min,congestion_iou_pct,congestion_precision_pct,congestion_recall_pct,congestion_f1_pct,congestion_interval_accuracy_pct,observed_congestion_episode_count,model_congestion_episode_count,observed_first_congestion_start_min,model_first_congestion_start_min,congestion_onset_error_min,observed_last_congestion_end_min,model_last_congestion_end_min,congestion_clearance_error_min,cube_vs_observed_congestion_valid_interval_count,cube_vs_observed_observed_congestion_duration_min,cube_vs_observed_model_congestion_duration_min,cube_vs_observed_congestion_duration_error_min,cube_vs_observed_congestion_duration_absolute_error_min,cube_vs_observed_congestion_duration_ape_pct,cube_vs_observed_congestion_overlap_min,cube_vs_observed_congestion_union_min,cube_vs_observed_congestion_iou_pct,cube_vs_observed_congestion_precision_pct,cube_vs_observed_congestion_recall_pct,cube_vs_observed_congestion_f1_pct,cube_vs_observed_congestion_interval_accuracy_pct,cube_vs_observed_observed_congestion_episode_count,cube_vs_observed_model_congestion_episode_count,cube_vs_observed_observed_first_congestion_start_min,cube_vs_observed_model_first_congestion_start_min,cube_vs_observed_congestion_onset_error_min,cube_vs_observed_observed_last_congestion_end_min,cube_vs_observed_model_last_congestion_end_min,cube_vs_observed_congestion_clearance_error_min,mean_observed_speed_mph,mean_model_speed_mph,mean_cube_qvdf_speed_mph,mean_observed_length_coverage_pct,mean_model_length_coverage_pct,mean_cube_qvdf_length_coverage_pct,cbi_tmc_count,mapped_tmc_count,eligible_tmc_count,qa_matched_tmc_count,gmns_link_count_used,gmns_corridor_length_mi,cube_qvdf_link_count_available,taplite_zero_cube_positive_link_count,tmc_mapping_coverage_pct,tmc_comparison_coverage_pct,qa_matched_share_of_mapped_pct
I395_NB,AM,12,2.540905,6.663726,12,3.103671,0.435880,6.387502,0.960492,12,4.605566,12.875655,12,5.577071,-3.278815,11.577789,0.916479,12,3.720155,12.398668,12,5.128484,3.714695,10.192063,0.923965,12,135,105,-30,30,22.222222,105,135,77.777778,100.000000,77.777778,87.500000,83.333333,1,1,405.000000,435.000000,30.000000,540.000000,540.000000,0.000000,12,135,120,-15,15,11.111111,120,135,88.888889,100.000000,88.888889,94.117647,91.666667,1,1,405.000000,420.000000,15.000000,540.000000,540.000000,0.000000,39.779322,40.215202,36.500507,98.913072,100.000000,100.000000,21,21.000000,21.000000,18.000000,31.000000,10.040000,31.000000,0.000000,100.000000,100.000000,85.714286
I395_NB,MD,24,10.904593,20.236257,24,11.702933,-10.904593,20.756000,0.307616,24,14.469564,26.351722,24,18.264000,-14.469564,27.541631,0.054412,24,6.778195,23.328009,24,9.215104,3.564971,17.805726,0.072246,24,45,315,270,270,600.000000,45,315,14.285714,14.285714,100.000000,25.000000,25.000000,1,1,540.000000,540.000000,0.000000,585.000000,855.000000,270.000000,24,45,270,225,225,500.000000,45,270,16.666667,16.666667,100.000000,28.571429,37.500000,1,1,540.000000,540.000000,0.000000,585.000000,810.000000,225.000000,52.537062,41.632470,38.067498,98.821142,100.000000,100.000000,21,21.000000,21.000000,18.000000,31.000000,10.040000,31.000000,0.000000,100.000000,100.000000,85.714286
I395_NB,PM,16,5.144752,14.152463,16,6.432404,-5.044527,12.999516,0.931096,16,7.919210,21.877193,16,10.356917,-7.783052,20.009887,0.862418,16,3.021829,14.115001,16,4.058247,2.738525,9.504571,0.978280,16,195,210,15,15,7.692308,195,210,92.857143,92.857143,100.000000,96.296296,93.750000,1,1,930.000000,915.000000,-15.000000,1125.000000,1125.000000,0.000000,16,195,195,0,0,0.000000,195,195,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,930.000000,930.000000,0.000000,1125.000000,1125.000000,0.000000,39.576486,34.531959,31.793433,98.555483,100.000000,100.000000,21,21.000000,21.000000,18.000000,31.000000,10.040000,31.000000,0.000000,100.000000,100.000000,85.714286
I395_SB,AM,12,0.722729,1.200335,12,0.838156,0.722729,1.195736,0.419308,12,7.824027,13.015041,12,12.689087,-7.731796,12.944641,0.253649,12,8.463020,21.832909,12,13.331816,8.454525,16.055687,0.005371,12,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,12,0,45,45,45,,0,45,0.000000,0.000000,,,75.000000,0,1,,435.000000,,,480.000000,,60.442214,61.164943,52.710418,98.736667,100.000000,100.000000,20,20.000000,20.000000,18.000000,35.000000,10.190000,35.000000,0.000000,100.000000,100.000000,90.000000
I395_SB,MD,24,4.627987,8.008819,24,5.694340,-4.602006,7.910054,0.577328,24,13.602228,23.086875,24,18.287925,-13.529811,23.248632,0.000009,24,9.399000,31.131782,24,14.448510,8.927805,20.896958,0.116269,24,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,24,0,135,135,135,,0,135,0.000000,0.000000,,,62.500000,0,1,,660.000000,,,795.000000,,58.507651,53.905645,44.977840,99.518400,100.000000,100.000000,20,20.000000,20.000000,18.000000,35.000000,10.190000,35.000000,0.000000,100.000000,100.000000,90.000000
I395_SB,PM,15,6.277703,16.487085,15,6.721023,-2.753839,16.051383,0.737683,15,11.055316,29.985503,15,12.285431,-8.520500,28.267206,0.789358,16,5.848899,27.382094,16,6.691481,5.848899,19.549723,0.990270,15,180,165,-15,15,8.333333,150,195,76.923077,90.909091,83.333333,86.956522,80.000000,2,2,915.000000,900.000000,-15.000000,1110.000000,1080.000000,-30.000000,15,180,180,0,0,0.000000,165,195,84.615385,91.666667,91.666667,91.666667,86.666667,2,2,915.000000,900.000000,-15.000000,1110.000000,1095.000000,-15.000000,39.110043,35.766964,29.918065,94.576068,100.000000,100.000000,20,20.000000,20.000000,18.000000,35.000000,10.190000,35.000000,0.000000,100.000000,100.000000,90.000000
I495_CCW,AM,12,2.039223,3.582202,12,2.337296,1.796337,3.525387,0.735370,12,9.625545,16.987222,12,14.008467,-9.516455,16.640542,0.337651,12,11.327408,32.090270,12,16.101430,11.312792,23.438852,0.038482,12,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,12,0,75,75,75,,0,75,0.000000,0.000000,,,58.333333,0,1,,420.000000,,,495.000000,,57.843942,59.640279,48.327487,95.695778,100.000000,100.000000,29,29.000000,29.000000,29.000000,53.000000,20.900000,53.000000,0.000000,100.000000,100.000000,100.000000
I495_CCW,MD,24,10.533999,18.942250,24,12.022688,-10.533999,18.860155,0.495305,24,17.768675,30.924907,24,21.839533,-17.768675,31.813178,0.004400,24,8.628118,31.477303,24,12.336544,7.234677,22.655187,0.272059,24,45,180,135,135,300.000000,45,180,25.000000,25.000000,100.000000,40.000000,62.500000,1,1,855.000000,720.000000,-135.000000,900.000000,900.000000,0.000000,24,45,255,210,210,466.666667,45,255,17.647059,17.647059,100.000000,30.000000,41.666667,1,1,855.000000,645.000000,-210.000000,900.000000,900.000000,0.000000,55.853192,45.319193,38.084516,98.899474,100.000000,100.000000,29,29.000000,29.000000,29.000000,53.000000,20.900000,53.000000,0.000000,100.000000,100.000000,100.000000
I495_CCW,PM,16,3.615342,11.692052,16,4.417923,0.991173,11.953644,0.727330,16,8.372994,29.217510,16,9.555270,-6.759879,27.684183,0.853167,16,7.751052,44.605864,16,8.654643,7.751052,33.004538,0.931555,16,240,240,0,0,0.000000,240,240,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,900.000000,900.000000,0.000000,1140.000000,1140.000000,0.000000,16,240,240,0,0,0.000000,240,240,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,900.000000,900.000000,0.000000,1140.000000,1140.000000,0.000000,30.244685,31.235859,23.484807,95.699163,100.000000,100.000000,29,29.000000,29.000000,29.000000,53.000000,20.900000,53.000000,0.000000,100.000000,100.000000,100.000000
I495_CW,AM,12,2.818117,5.800425,12,3.507341,2.011724,5.842552,0.894866,12,6.992887,15.486403,12,9.177940,-6.562670,14.497732,0.779972,12,8.574394,25.641995,12,11.234627,8.574394,20.576067,0.606241,12,90,75,-15,15,16.666667,75,90,83.333333,100.000000,83.333333,90.909091,91.666667,1,1,450.000000,465.000000,15.000000,540.000000,540.000000,0.000000,12,90,120,30,30,33.333333,90,120,75.000000,75.000000,100.000000,85.714286,83.333333,1,1,450.000000,420.000000,-30.000000,540.000000,540.000000,0.000000,48.234356,50.246080,41.671686,97.645926,100.000000,100.000000,29,29.000000,29.000000,29.000000,51.000000,20.050000,51.000000,0.000000,100.000000,100.000000,100.000000
