corridor,period,t_min,observed_speed_mph,cbi_congestion_threshold_mph,observed_length_coverage,observed_valid_tmc_count,model_speed_mph,model_length_coverage,model_source_sample_count,cube_qvdf_speed_mph,cube_qvdf_length_coverage,cube_qvdf_source_sample_count,clock_time,speed_error_mph,cube_speed_error_mph,taplite_cube_speed_error_mph,absolute_percentage_error_pct,observed_congested,model_congested,cube_congested
BROADLANDSBLVD_EB,AM,360,38.001316,31.585338,1.000000,2.000000,40.321035,1.000000,3.000000,40.372095,1.000000,3.000000,06:00,2.319719,2.370778,-0.051060,6.104312,False,False,False
BROADLANDSBLVD_EB,AM,375,38.371858,31.585338,1.000000,2.000000,40.315730,1.000000,3.000000,40.687872,1.000000,3.000000,06:15,1.943872,2.316014,-0.372142,5.065879,False,False,False
BROADLANDSBLVD_EB,AM,390,39.130225,31.585338,1.000000,2.000000,40.305012,1.000000,3.000000,40.925006,1.000000,3.000000,06:30,1.174787,1.794781,-0.619994,3.002250,False,False,False
BROADLANDSBLVD_EB,AM,405,39.040719,31.585338,1.000000,2.000000,40.290027,1.000000,3.000000,40.789729,1.000000,3.000000,06:45,1.249308,1.749009,-0.499701,3.200012,False,False,False
BROADLANDSBLVD_EB,AM,420,38.028521,31.585338,1.000000,2.000000,40.271924,1.000000,3.000000,40.183987,1.000000,3.000000,07:00,2.243403,2.155466,0.087937,5.899263,False,False,False
BROADLANDSBLVD_EB,AM,435,37.580848,31.585338,1.000000,2.000000,40.251870,1.000000,3.000000,34.467109,1.000000,3.000000,07:15,2.671022,-3.113739,5.784761,7.107401,False,False,False
BROADLANDSBLVD_EB,AM,450,36.659531,31.585338,1.000000,2.000000,40.231059,1.000000,3.000000,32.293734,1.000000,3.000000,07:30,3.571529,-4.365797,7.937325,9.742428,False,False,False
BROADLANDSBLVD_EB,AM,465,36.786867,31.585338,1.000000,2.000000,40.210721,1.000000,3.000000,39.134783,1.000000,3.000000,07:45,3.423855,2.347916,1.075938,9.307274,False,False,False
BROADLANDSBLVD_EB,AM,480,37.060047,31.585338,1.000000,2.000000,40.192119,1.000000,3.000000,40.652709,1.000000,3.000000,08:00,3.132072,3.592662,-0.460590,8.451343,False,False,False
BROADLANDSBLVD_EB,AM,495,37.135755,31.585338,1.000000,2.000000,40.176542,1.000000,3.000000,40.787226,1.000000,3.000000,08:15,3.040787,3.651471,-0.610684,8.188299,False,False,False
BROADLANDSBLVD_EB,AM,510,37.257280,31.585338,1.000000,2.000000,40.165300,1.000000,3.000000,40.559459,1.000000,3.000000,08:30,2.908020,3.302179,-0.394159,7.805241,False,False,False
BROADLANDSBLVD_EB,AM,525,37.459088,31.585338,1.000000,2.000000,40.159605,1.000000,3.000000,40.216964,1.000000,3.000000,08:45,2.700517,2.757876,-0.057359,7.209243,False,False,False
