corridor,tmc_code,selection_position,period,road_order,gmns_link_count,gmns_link_ids,taplite_period_volume,taplite_period_doc,taplite_period_p_hours,cube_period_volume,cube_period_doc,cube_period_p_hours,model_speed_min_mph,model_speed_max_mph,model_speed_unique_value_count,cube_speed_min_mph,cube_speed_max_mph,cube_speed_unique_value_count
BROADLANDSBLVD_EB,110+58122,all_1_of_2,AM,2.000000,1.000000,36713,1307.515800,0.311300,0.000000,889.899780,0.211881,0.628082,37.292000,37.771000,12,34.791440,42.509548,12
BROADLANDSBLVD_EB,110+58122,all_1_of_2,MD,2.000000,1.000000,36713,2816.479900,0.335300,0.000000,1994.578000,0.237450,1.398756,36.319667,37.289333,24,33.267885,42.108243,24
BROADLANDSBLVD_EB,110+58122,all_1_of_2,PM,2.000000,1.000000,36713,1345.116100,0.240200,0.000000,1136.078860,0.202871,0.794106,36.305000,36.319000,14,34.166486,42.466243,16
BROADLANDSBLVD_EB,110P58123,all_2_of_2,AM,5.000000,1.000000,37305,1477.547800,0.307800,0.000000,953.910640,0.198731,0.582036,43.987667,44.372333,12,31.060686,44.300387,12
BROADLANDSBLVD_EB,110P58123,all_2_of_2,MD,5.000000,1.000000,37305,3031.991100,0.315800,0.000000,2197.009030,0.228855,1.357260,39.477000,44.369000,24,28.199939,44.357445,24
BROADLANDSBLVD_EB,110P58123,all_2_of_2,PM,5.000000,1.000000,37305,1454.080300,0.227200,0.000000,1210.018070,0.189065,0.744339,39.480333,43.246667,16,29.771874,43.225099,16
BROADLANDSBLVD_WB,110N58123,all_1_of_2,AM,1.000000,1.000000,37001,104.884400,0.001600,0.000000,108.997510,0.001648,0.004958,39.978000,40.563333,12,26.309465,40.399093,12
BROADLANDSBLVD_WB,110N58123,all_1_of_2,MD,1.000000,1.000000,37001,416.830800,0.003200,0.000000,400.530000,0.003027,0.020279,35.084000,39.971000,24,26.584375,39.934748,24
BROADLANDSBLVD_WB,110N58123,all_1_of_2,PM,1.000000,1.000000,37001,384.449300,0.004400,0.000000,386.562160,0.004383,0.019486,35.093000,41.243667,16,26.667491,41.147357,16
BROADLANDSBLVD_WB,110-58121,all_2_of_2,AM,4.000000,1.000000,37306,519.553100,0.123700,0.000000,532.977170,0.126899,0.372370,35.987000,37.079333,12,36.141706,43.359872,12
BROADLANDSBLVD_WB,110-58121,all_2_of_2,MD,4.000000,1.000000,37306,2048.644800,0.243900,0.000000,1792.373290,0.213378,1.253352,35.523333,35.982333,24,33.510156,42.517334,24
BROADLANDSBLVD_WB,110-58121,all_2_of_2,PM,4.000000,1.000000,37306,1542.551400,0.275500,0.000000,1377.809080,0.246037,0.967354,34.617667,35.521000,16,33.514145,41.299690,16
FAULKNERPKWY_EB,110P58128,all_1_of_2,AM,1.000000,1.000000,37313,1563.894600,0.434400,0.000000,1212.930660,0.336925,1.006693,29.518667,33.206333,12,25.207228,33.337430,12
FAULKNERPKWY_EB,110P58128,all_1_of_2,MD,1.000000,1.000000,37313,3126.602900,0.434300,0.000000,2817.027590,0.391254,2.375211,29.504667,30.337000,24,23.620918,31.076772,24
FAULKNERPKWY_EB,110P58128,all_1_of_2,PM,1.000000,1.000000,37313,1848.356800,0.385100,0.000000,1766.378910,0.367996,1.475285,29.624667,30.336333,16,24.047282,31.252285,16
FAULKNERPKWY_EB,110+58129,all_2_of_2,AM,2.000000,2.000000,37315;36293,1403.552180,0.548860,0.000000,1247.531800,0.501301,1.505627,35.055333,36.421333,12,24.546178,36.399115,12
FAULKNERPKWY_EB,110+58129,all_2_of_2,MD,2.000000,2.000000,37315;36293,3007.982340,0.622820,0.000000,2690.324216,0.550845,3.356291,34.942000,35.049667,24,22.948002,35.048787,24
FAULKNERPKWY_EB,110+58129,all_2_of_2,PM,2.000000,2.000000,37315;36293,1813.951060,0.576300,0.000000,1645.799950,0.512105,2.062774,34.942667,35.421667,16,23.493193,35.412692,16
FAULKNERPKWY_WB,110-58128,only,AM,2.000000,1.000000,36290,793.571800,0.440900,0.000000,771.915160,0.428842,1.285369,33.592667,34.057000,12,24.807993,34.062765,12
FAULKNERPKWY_WB,110-58128,only,MD,2.000000,1.000000,36290,2461.483500,0.683700,0.000000,2143.671880,0.595464,3.630984,33.622333,34.058333,24,22.768524,34.061318,24
FAULKNERPKWY_WB,110-58128,only,PM,2.000000,1.000000,36290,1771.511000,0.738100,0.000000,1710.246830,0.712603,2.883385,32.581000,33.619667,16,22.824586,33.623929,16
I395_NB,110+04121,corridor_start,AM,1.000000,1.000000,29007,14989.653600,1.702900,5.938092,18342.351560,2.083744,7.266250,20.784667,55.036000,12,19.896775,55.035720,12
I395_NB,110+04121,corridor_start,MD,1.000000,1.000000,29007,22712.226200,0.473200,0.000000,27446.384770,0.571800,4.033784,25.906333,34.446667,24,23.425672,41.206538,24
I395_NB,110+04121,corridor_start,PM,1.000000,1.000000,29007,15615.001900,1.951900,9.848856,23754.414060,2.969302,15.420927,12.121667,38.825000,16,8.614127,37.436293,16
I395_NB,110P04122,behavior_diverse_2_of_5,AM,4.000000,2.000000,28270;28275,12428.432046,1.217797,4.176436,16849.991853,1.651003,5.743971,20.189431,61.330333,12,17.064943,61.330445,12
I395_NB,110P04122,behavior_diverse_2_of_5,MD,4.000000,2.000000,28270;28275,21433.972049,0.470043,0.000000,22602.095428,0.495660,3.339138,43.580667,60.460667,24,26.460963,60.488308,24
I395_NB,110P04122,behavior_diverse_2_of_5,PM,4.000000,2.000000,28270;28275,17810.196789,0.585846,0.000000,18922.797322,0.622460,2.881758,57.338667,60.470333,16,22.761450,60.478996,16
I395_NB,110P04126,behavior_diverse_3_of_5,AM,12.000000,1.000000,26778,16792.489500,0.736500,0.000000,15010.912110,0.658373,2.193466,49.338000,58.363000,12,27.120181,58.417991,12
I395_NB,110P04126,behavior_diverse_3_of_5,MD,12.000000,1.000000,26778,20966.456000,0.459800,0.000000,23586.892580,0.517256,3.490091,49.308333,55.556667,24,25.909279,55.861943,24
I395_NB,110P04126,behavior_diverse_3_of_5,PM,12.000000,1.000000,26778,19284.572400,0.634400,0.000000,15762.616210,0.518507,2.358594,53.833667,55.559333,16,24.757499,55.876292,16
I395_NB,110P04127,behavior_diverse_4_of_5,AM,14.000000,2.000000,26269;26271,19887.837809,1.163038,0.000000,16117.385138,0.942537,3.220381,52.223667,57.703000,12,20.832907,57.552822,12
I395_NB,110P04127,behavior_diverse_4_of_5,MD,14.000000,2.000000,26269;26271,25440.860797,0.743862,0.000000,27993.021768,0.818509,5.771599,52.207333,57.671667,24,17.134001,57.644228,24
I395_NB,110P04127,behavior_diverse_4_of_5,PM,14.000000,2.000000,26269;26271,22963.998344,1.007206,0.000000,19420.788142,0.851789,4.058830,55.368000,57.672000,16,17.753069,57.595889,16
I395_NB,110P04130,corridor_end,AM,22.000000,1.000000,26469,21446.161900,0.627100,0.000000,15336.044920,0.448422,1.539852,16.667000,36.755000,12,17.305700,44.208863,12
I395_NB,110P04130,corridor_end,MD,22.000000,1.000000,26469,37326.172000,0.545700,0.000000,24702.216800,0.361144,2.458614,11.638000,16.582000,24,11.834435,42.699671,24
I395_NB,110P04130,corridor_end,PM,22.000000,1.000000,26469,25287.605600,0.554600,0.000000,17008.306640,0.372989,1.746453,11.646000,17.508000,16,12.054208,39.514358,16
