corridor,source,episode_number,start_min,end_min,duration_min,start_time,end_time
I395HOV_NB,CBI_OBSERVED,1,960,1125,165,16:00,18:45
I395HOV_NB,TAPLITE_MODEL,1,810,1140,330,13:30,19:00
I395HOV_NB,CUBE_QVDF,1,435,465,30,07:15,07:45
I395HOV_NB,CUBE_QVDF,2,690,750,60,11:30,12:30
I395HOV_NB,CUBE_QVDF,3,900,1080,180,15:00,18:00
I395HOV_NB,CUBE_QVDF,4,1095,1140,45,18:15,19:00
I395HOV_SB,TAPLITE_MODEL,1,360,540,180,06:00,09:00
I395HOV_SB,CUBE_QVDF,1,450,465,15,07:30,07:45
I395HOV_SB,CUBE_QVDF,2,720,735,15,12:00,12:15
I395HOV_SB,CUBE_QVDF,3,975,1065,90,16:15,17:45
I395_NB,CBI_OBSERVED,1,405,585,180,06:45,09:45
I395_NB,CBI_OBSERVED,2,915,1125,210,15:15,18:45
I395_NB,TAPLITE_MODEL,1,405,1140,735,06:45,19:00
I395_NB,CUBE_QVDF,1,405,885,480,06:45,14:45
I395_NB,CUBE_QVDF,2,900,1140,240,15:00,19:00
I395_SB,CBI_OBSERVED,1,915,960,45,15:15,16:00
I395_SB,CBI_OBSERVED,2,975,1110,135,16:15,18:30
I395_SB,TAPLITE_MODEL,1,405,510,105,06:45,08:30
I395_SB,TAPLITE_MODEL,2,900,1080,180,15:00,18:00
I395_SB,CUBE_QVDF,1,405,510,105,06:45,08:30
I395_SB,CUBE_QVDF,2,660,780,120,11:00,13:00
I395_SB,CUBE_QVDF,3,900,1095,195,15:00,18:15
I495_CCW,CBI_OBSERVED,1,855,1140,285,14:15,19:00
I495_CCW,TAPLITE_MODEL,1,660,1140,480,11:00,19:00
I495_CCW,CUBE_QVDF,1,405,510,105,06:45,08:30
I495_CCW,CUBE_QVDF,2,600,1125,525,10:00,18:45
I495_CW,CBI_OBSERVED,1,450,600,150,07:30,10:00
I495_CW,CBI_OBSERVED,2,855,1140,285,14:15,19:00
I495_CW,TAPLITE_MODEL,1,480,615,135,08:00,10:15
I495_CW,TAPLITE_MODEL,2,735,1095,360,12:15,18:15
I495_CW,CUBE_QVDF,1,405,540,135,06:45,09:00
I495_CW,CUBE_QVDF,2,600,1110,510,10:00,18:30
I495_NB,TAPLITE_MODEL,1,825,1035,210,13:45,17:15
I495_NB,CUBE_QVDF,1,405,510,105,06:45,08:30
I495_NB,CUBE_QVDF,2,615,1110,495,10:15,18:30
I495_SB,TAPLITE_MODEL,1,810,1080,270,13:30,18:00
I495_SB,CUBE_QVDF,1,405,495,90,06:45,08:15
I495_SB,CUBE_QVDF,2,615,840,225,10:15,14:00
I495_SB,CUBE_QVDF,3,900,1110,210,15:00,18:30
I66_EB,TAPLITE_MODEL,1,660,840,180,11:00,14:00
I66_EB,TAPLITE_MODEL,2,930,1110,180,15:30,18:30
I66_EB,CUBE_QVDF,1,420,525,105,07:00,08:45
I66_EB,CUBE_QVDF,2,600,855,255,10:00,14:15
I66_EB,CUBE_QVDF,3,930,1125,195,15:30,18:45
I66_WB,TAPLITE_MODEL,1,675,885,210,11:15,14:45
I66_WB,TAPLITE_MODEL,2,930,1110,180,15:30,18:30
I66_WB,CUBE_QVDF,1,405,510,105,06:45,08:30
I66_WB,CUBE_QVDF,2,615,855,240,10:15,14:15
I66_WB,CUBE_QVDF,3,915,1125,210,15:15,18:45
I95HOV_NB,CBI_OBSERVED,1,780,840,60,13:00,14:00
I95HOV_NB,CBI_OBSERVED,2,870,900,30,14:30,15:00
I95HOV_NB,TAPLITE_MODEL,1,720,900,180,12:00,15:00
I95HOV_NB,CUBE_QVDF,1,420,480,60,07:00,08:00
I95HOV_NB,CUBE_QVDF,2,630,900,270,10:30,15:00
I95HOV_SB,TAPLITE_MODEL,1,570,630,60,09:30,10:30
I95HOV_SB,CUBE_QVDF,1,615,810,195,10:15,13:30
I95HOV_SB,CUBE_QVDF,2,930,1110,180,15:30,18:30
I95_NB,CBI_OBSERVED,1,390,480,90,06:30,08:00
I95_NB,TAPLITE_MODEL,1,375,510,135,06:15,08:30
I95_NB,TAPLITE_MODEL,2,540,1140,600,09:00,19:00
I95_NB,CUBE_QVDF,1,375,510,135,06:15,08:30
I95_NB,CUBE_QVDF,2,585,1125,540,09:45,18:45
I95_SB,CBI_OBSERVED,1,675,720,45,11:15,12:00
I95_SB,CBI_OBSERVED,2,855,1140,285,14:15,19:00
I95_SB,TAPLITE_MODEL,1,405,525,120,06:45,08:45
I95_SB,TAPLITE_MODEL,2,585,1140,555,09:45,19:00
I95_SB,CUBE_QVDF,1,390,525,135,06:30,08:45
I95_SB,CUBE_QVDF,2,585,1140,555,09:45,19:00
US15_NB,CBI_OBSERVED,1,885,1095,210,14:45,18:15
US15_NB,TAPLITE_MODEL,1,780,1050,270,13:00,17:30
US15_NB,CUBE_QVDF,1,405,510,105,06:45,08:30
US15_NB,CUBE_QVDF,2,600,1110,510,10:00,18:30
US15_SB,TAPLITE_MODEL,1,420,510,90,07:00,08:30
US15_SB,TAPLITE_MODEL,2,915,1065,150,15:15,17:45
US15_SB,CUBE_QVDF,1,390,525,135,06:30,08:45
US15_SB,CUBE_QVDF,2,585,870,285,09:45,14:30
US15_SB,CUBE_QVDF,3,930,1110,180,15:30,18:30
US1_NB,CBI_OBSERVED,1,405,1140,735,06:45,19:00
US1_NB,TAPLITE_MODEL,1,540,1140,600,09:00,19:00
US1_NB,CUBE_QVDF,1,405,525,120,06:45,08:45
US1_NB,CUBE_QVDF,2,600,870,270,10:00,14:30
US1_NB,CUBE_QVDF,3,915,1125,210,15:15,18:45
US1_SB,CBI_OBSERVED,1,435,1140,705,07:15,19:00
US1_SB,TAPLITE_MODEL,1,660,1140,480,11:00,19:00
US1_SB,CUBE_QVDF,1,405,495,90,06:45,08:15
US1_SB,CUBE_QVDF,2,600,870,270,10:00,14:30
US1_SB,CUBE_QVDF,3,900,1125,225,15:00,18:45
US29_NB,CBI_OBSERVED,1,405,1140,735,06:45,19:00
US29_NB,TAPLITE_MODEL,1,420,1140,720,07:00,19:00
US29_NB,CUBE_QVDF,1,390,1140,750,06:30,19:00
US29_SB,CBI_OBSERVED,1,420,1140,720,07:00,19:00
US29_SB,TAPLITE_MODEL,1,540,1140,600,09:00,19:00
US29_SB,CUBE_QVDF,1,420,480,60,07:00,08:00
US29_SB,CUBE_QVDF,2,540,1140,600,09:00,19:00
US50_EB,CBI_OBSERVED,1,450,540,90,07:30,09:00
US50_EB,CBI_OBSERVED,2,885,1125,240,14:45,18:45
US50_EB,TAPLITE_MODEL,1,465,510,45,07:45,08:30
US50_EB,TAPLITE_MODEL,2,645,900,255,10:45,15:00
US50_EB,TAPLITE_MODEL,3,960,1110,150,16:00,18:30
US50_EB,CUBE_QVDF,1,420,525,105,07:00,08:45
US50_EB,CUBE_QVDF,2,600,885,285,10:00,14:45
US50_EB,CUBE_QVDF,3,930,1110,180,15:30,18:30
US50_WB,CBI_OBSERVED,1,930,1095,165,15:30,18:15
US50_WB,TAPLITE_MODEL,1,915,1125,210,15:15,18:45
US50_WB,CUBE_QVDF,1,420,480,60,07:00,08:00
US50_WB,CUBE_QVDF,2,600,855,255,10:00,14:15
US50_WB,CUBE_QVDF,3,930,1110,180,15:30,18:30
VA120_NB,CBI_OBSERVED,1,360,1140,780,06:00,19:00
VA120_NB,TAPLITE_MODEL,1,390,1140,750,06:30,19:00
VA120_NB,CUBE_QVDF,1,435,1140,705,07:15,19:00
VA120_SB,CBI_OBSERVED,1,360,1140,780,06:00,19:00
VA120_SB,TAPLITE_MODEL,1,390,1140,750,06:30,19:00
VA120_SB,CUBE_QVDF,1,360,1140,780,06:00,19:00
VA123_NB,CBI_OBSERVED,1,405,1140,735,06:45,19:00
VA123_NB,TAPLITE_MODEL,1,420,1140,720,07:00,19:00
VA123_NB,CUBE_QVDF,1,405,885,480,06:45,14:45
VA123_NB,CUBE_QVDF,2,900,1125,225,15:00,18:45
VA123_SB,CBI_OBSERVED,1,465,600,135,07:45,10:00
VA123_SB,CBI_OBSERVED,2,645,675,30,10:45,11:15
VA123_SB,CBI_OBSERVED,3,690,1140,450,11:30,19:00
VA123_SB,TAPLITE_MODEL,1,540,1140,600,09:00,19:00
VA123_SB,CUBE_QVDF,1,405,510,105,06:45,08:30
