corridor,period,mapped_physical_link_count,zero_assignment_link_count,doc_le_0_10_link_count,doc_le_0_25_link_count,mapmatching_review_link_count,formula_review_link_count,median_assignment_volume,median_assignment_D_vphpl,median_assignment_doc,median_synthetic_period_volume,zero_assignment_positive_synthetic_count
I395_NB,AM,33,0,0,0,5,21,15014.844700,2515.630200,1.324000,21437.326001,0
I395_NB,MD,33,0,0,0,5,11,18897.272800,907.057100,0.477400,39366.405765,0
I395_NB,PM,33,0,0,0,5,13,15092.728100,1894.401600,0.997100,27040.698102,0
I395_SB,AM,35,0,0,0,9,15,10548.811800,1013.038000,0.533200,16253.352516,0
I395_SB,MD,35,0,0,1,9,15,16690.304700,871.520800,0.458700,35846.158900,0
I395_SB,PM,35,0,0,0,9,20,11582.080400,2521.016900,1.326900,26688.696488,0
I495_CCW,AM,55,0,0,12,1,23,6948.074900,936.087000,0.492700,19679.593549,0
I495_CCW,MD,55,0,0,4,1,23,16025.457700,1000.837400,0.500400,41511.995083,0
I495_CCW,PM,55,0,0,1,1,16,10730.418500,1901.109000,1.000600,28268.685773,0
I495_CW,AM,54,0,0,1,0,29,11149.411800,1243.464450,0.621750,22463.233395,0
I495_CW,MD,54,0,0,3,0,26,16315.184400,973.088050,0.497400,45852.893135,0
I495_CW,PM,54,0,0,5,0,12,11441.133900,1439.769900,0.742400,28559.462606,0
I495_NB,AM,32,0,5,22,1,15,1233.197200,366.229200,0.183100,9415.167722,0
I495_NB,MD,32,0,0,1,1,15,12060.409600,1369.333300,0.684700,19969.959214,0
I495_NB,PM,32,0,0,5,1,0,4192.941600,1531.857700,0.765900,11703.279964,0
I495_SB,AM,32,0,0,5,1,16,3448.038200,709.541950,0.354800,8048.883908,0
I495_SB,MD,32,0,0,1,1,16,11155.703300,1364.921800,0.682500,15312.665245,0
I495_SB,PM,32,0,0,12,1,0,3022.593900,1133.310050,0.566650,12749.509569,0
I66_EB,AM,105,16,39,49,23,42,2727.948800,686.378200,0.343200,11804.599781,16
I66_EB,MD,83,0,0,7,21,41,12456.936500,818.764000,0.428300,22612.470458,0
I66_EB,PM,83,0,1,14,21,15,6270.490200,981.532400,0.516600,15824.418012,0
I66_WB,AM,91,1,9,27,16,46,2817.729000,608.907800,0.312100,10145.059727,1
I66_WB,MD,91,1,3,9,16,46,11101.272900,918.505700,0.462600,20201.505264,1
I66_WB,PM,113,0,1,28,19,16,5794.036800,1204.884200,0.602400,15256.593536,0
I95_NB,AM,42,0,0,0,0,25,13194.060000,2314.953450,1.218400,16648.029572,0
I95_NB,MD,42,0,1,1,0,21,18529.307200,1256.801400,0.646400,32469.986128,0
I95_NB,PM,42,0,0,0,0,17,13833.970850,2051.478600,1.051400,23523.663024,0
I95_SB,AM,37,0,0,0,2,12,11861.775600,1281.336300,0.659000,15097.646044,0
I95_SB,MD,37,0,0,1,2,12,19750.776000,1039.237500,0.538400,32429.902110,0
I95_SB,PM,37,0,0,0,2,13,13897.932900,2908.643100,1.504700,22687.243755,0
