corridor,period,tmc_code,direction,road_order,route_sequence,link_id,from_node_id_measurement,to_node_id_measurement,length_mi,qa_status,confidence,performance_available,cube_profile_available,taplite_period_volume,cube_period_volume,taplite_zero_volume,cube_positive_volume,taplite_zero_cube_positive,tmc_model_length_coverage,eligible_for_comparison,iteration_no,from_node_id_source,to_node_id_source,assignment_volume,ref_volume,base_demand_volume,obs_volume,background_volume,link_capacity,lane_capacity,assignment_D_vphpl,assignment_doc,assignment_plf,speed_mph,travel_time,assignment_P_hours,assignment_t0_hour,assignment_t2_hour,assignment_t3_hour,vt2_mph,mu,free_speed_mph,cutoff_speed_mph,kernel_recomputed_D_vphpl,kernel_recomputed_doc,kernel_recomputed_plf,kernel_D_residual,kernel_doc_residual,kernel_plf_residual,kernel_formula_status,gmns_lanes,assignment_link_streetname,assignment_link_source_id,assignment_link_project_id,assignment_link_ftype,assignment_link_type,assignment_link_allowed_use,assignment_link_length_mi,assignment_link_lanes,cube_period_volume_link_file,synthetic_period_volume,synthetic_profile_intervals,synthetic_observed_speed_mph,synthetic_tmc_codes,map_road,map_direction,map_road_order,map_link_sequence,distance_to_tmc_ft,bearing_diff_deg,map_link_streetname,map_link_allowed_use,map_link_posted_speed_mph,map_link_lanes,map_link_capacity,map_link_free_speed_mph,map_link_type,map_link_project_id,map_link_source_id,map_link_geometry_wgs84,map_status,map_confidence,route_link_count,route_length_mi,length_ratio,avg_offset_ft,max_offset_ft,avg_bearing_diff_deg,assignment_to_synthetic_volume_ratio,assignment_minus_synthetic_period_volume,assignment_zero_flag,assignment_doc_le_0_10_flag,assignment_doc_le_0_25_flag,mapmatching_review_flag,suspicious_flag,likely_cause
I66_EB,AM,110N04183,EASTBOUND,28.000000,1,31415,34908,34906,0.460000,matched,98.930000,True,True,0.000000,2943.947750,True,True,True,1.000000,True,10,34908,34906,0.000000,0.000000,0.000000,-1.000000,0.000000,4000.000000,2000.000000,0.000000,0.000000,0.402200,75.000000,0.368000,0.000000,0.000000,0.000000,0.000000,75.000000,2000.000000,75.000000,56.250000,0.000000,0.000000,,0.000000,0.000000,,reconciled,2.000000,I-66,79230,VI1ZA,1,501,sov;hov2;hov3;trk;apv;com,0.460000,2,2943.947750,11709.460328,12.000000,42.538813,110N04183,I-66,EASTBOUND,28.000000,1.000000,11.290000,0.340000,I-66,sov;hov2;hov3;trk;apv;com,0.000000,2.000000,2000.000000,75.000000,501.000000,VI1ZA,79230.000000,"LINESTRING (-77.44904901525565 38.83468069640753, -77.44418872843039 38.840070108459386)",matched,98.930000,1.000000,0.460000,1.021500,11.290000,11.290000,0.340000,0.000000,-11709.460328,True,True,True,False,True,assignment_zero_despite_observed_demand
I66_EB,AM,110-04184,EASTBOUND,25.000000,3,39151,40378,40374,0.520000,matched,98.280000,True,True,0.000000,2433.760740,True,True,True,1.000000,True,10,40378,40374,0.000000,0.000000,0.000000,-1.000000,0.000000,4000.000000,2000.000000,0.000000,0.000000,0.468100,75.000000,0.416000,0.000000,0.000000,0.000000,0.000000,75.000000,2000.000000,75.000000,56.250000,0.000000,0.000000,,0.000000,0.000000,,reconciled,2.000000,I-66,79117,VI1ZA,1,501,sov;hov2;hov3;trk;apv;com,0.520000,2,2433.760740,9631.323495,10.000000,46.070087,110-04184,I-66,EASTBOUND,25.000000,3.000000,41.840000,0.010000,I-66,sov;hov2;hov3;trk;apv;com,0.000000,2.000000,2000.000000,75.000000,501.000000,VI1ZA,79117.000000,"LINESTRING (-77.5323092671473 38.800573334918305, -77.52276971089418 38.80123428835739)",matched,98.280000,3.000000,2.230000,1.009000,44.620000,47.410000,0.060000,0.000000,-9631.323495,True,True,True,False,True,assignment_zero_despite_observed_demand
I66_EB,AM,110-04184,EASTBOUND,25.000000,1,39156,40382,41015,1.110000,matched,98.280000,True,True,0.000000,1579.689700,True,True,True,1.000000,True,10,40382,41015,0.000000,0.000000,0.000000,-1.000000,0.000000,4000.000000,2000.000000,0.000000,0.000000,0.468100,75.000000,0.888000,0.000000,0.000000,0.000000,0.000000,75.000000,2000.000000,75.000000,56.250000,0.000000,0.000000,,0.000000,0.000000,,reconciled,2.000000,I-66,79537,VI1ZA,1,501,sov;hov2;hov3;trk;apv;com,1.110000,2,1579.689700,9631.323495,10.000000,46.070087,110-04184,I-66,EASTBOUND,25.000000,1.000000,47.410000,0.070000,I-66,sov;hov2;hov3;trk;apv;com,0.000000,2.000000,2000.000000,75.000000,501.000000,VI1ZA,79537.000000,"LINESTRING (-77.56395719536246 38.79841466993867, -77.5434304747342 38.79981912209301)",matched,98.280000,3.000000,2.230000,1.009000,44.620000,47.410000,0.060000,0.000000,-9631.323495,True,True,True,False,True,assignment_zero_despite_observed_demand
I66_EB,AM,110-04184,EASTBOUND,25.000000,2,40966,41015,40378,0.600000,matched,98.280000,True,True,0.000000,2433.760740,True,True,True,1.000000,True,10,41015,40378,0.000000,0.000000,0.000000,-1.000000,0.000000,4000.000000,2000.000000,0.000000,0.000000,0.446800,75.000000,0.480000,0.000000,0.000000,0.000000,0.000000,75.000000,2000.000000,75.000000,56.250000,0.000000,0.000000,,0.000000,0.000000,,reconciled,2.000000,I-66,79538,VI1ZA,1,501,sov;hov2;hov3;trk;apv;com,0.600000,2,2433.760740,9631.323495,10.000000,46.070087,110-04184,I-66,EASTBOUND,25.000000,2.000000,41.840000,0.100000,I-66,sov;hov2;hov3;trk;apv;com,0.000000,2.000000,2000.000000,75.000000,501.000000,VI1ZA,79538.000000,"LINESTRING (-77.5434304747342 38.79981912209301, -77.5323092671473 38.800573334918305)",matched,98.280000,3.000000,2.230000,1.009000,44.620000,47.410000,0.060000,0.000000,-9631.323495,True,True,True,False,True,assignment_zero_despite_observed_demand
I66_EB,AM,110N04184,EASTBOUND,26.000000,1,39147,40374,40373,0.350000,matched,96.200000,True,True,0.000000,2433.760740,True,True,True,1.000000,True,10,40374,40373,0.000000,0.000000,0.000000,-1.000000,0.000000,4000.000000,2000.000000,0.000000,0.000000,0.333300,75.000000,0.280000,0.000000,0.000000,0.000000,0.000000,75.000000,2000.000000,75.000000,56.250000,0.000000,0.000000,,0.000000,0.000000,,reconciled,2.000000,I-66,79120,VI1ZA,1,501,sov;hov2;hov3;trk;apv;com,0.350000,2,2433.760740,8832.684962,10.000000,33.216330,110N04184,I-66,EASTBOUND,26.000000,1.000000,42.450000,0.010000,I-66,sov;hov2;hov3;trk;apv;com,0.000000,2.000000,2000.000000,75.000000,501.000000,VI1ZA,79120.000000,"LINESTRING (-77.52276971089418 38.80123428835739, -77.51631984673872 38.801674889205145)",matched,96.200000,1.000000,0.350000,0.774500,42.450000,42.450000,0.010000,0.000000,-8832.684962,True,True,True,False,True,assignment_zero_despite_observed_demand
I66_EB,AM,110N04173,EASTBOUND,47.000000,1,32132,35235,34505,0.160000,matched,99.720000,True,True,2206.373300,12182.310550,False,True,False,1.000000,True,10,35235,34505,2206.373300,0.000000,0.000000,-1.000000,0.000000,8000.000000,2000.000000,183.864400,0.091900,1.000000,68.177100,0.140800,0.000000,0.000000,0.000000,0.000000,68.177106,2000.000000,75.000000,56.250000,183.864442,0.091932,1.000000,-0.000042,-0.000032,-0.000000,reconciled,4.000000,I-66,79350,VI1XB,1,501,sov;hov2;hov3;com;apv,0.160000,4,12182.310550,18718.822260,12.000000,59.100393,110N04173;110N04226,I-66,EASTBOUND,47.000000,1.000000,6.850000,0.020000,I-66,sov;hov2;hov3;com;apv,9.000000,4.000000,2000.000000,75.000000,501.000000,VI1XB,79350.000000,"LINESTRING (-77.18534775241892 38.90020037094646, -77.18256971170129 38.89937003477012)",matched,99.720000,1.000000,0.160000,0.996900,6.850000,6.850000,0.020000,0.117869,-16512.448960,False,True,True,False,True,assignment_underloaded_vs_observed
I66_EB,AM,110N04169,EASTBOUND,55.000000,1,26183,30174,30216,0.310000,matched,99.650000,True,True,1539.420200,8613.538090,False,True,False,1.000000,True,10,30174,30216,1539.420200,0.000000,0.000000,-1.000000,0.000000,6000.000000,2000.000000,171.046700,0.085500,1.000000,68.529400,0.271400,0.000000,0.000000,0.000000,0.000000,68.529390,2000.000000,75.000000,56.250000,171.046689,0.085523,1.000000,0.000011,-0.000023,0.000000,reconciled,3.000000,I-66,79362,VI1XC,1,501,sov;hov2;hov3;com;apv,0.310000,3,8613.538090,11967.284700,12.000000,64.600457,110-04169;110N04169,I-66,EASTBOUND,55.000000,1.000000,6.540000,0.020000,I-66,sov;hov2;hov3;com;apv,9.000000,3.000000,2000.000000,75.000000,501.000000,VI1XC,79362.000000,"LINESTRING (-77.15623896843006 38.88561076875923, -77.15099725453733 38.88386861092211)",matched,99.650000,1.000000,0.310000,0.989000,6.540000,6.540000,0.020000,0.128636,-10427.864500,False,True,True,False,True,assignment_underloaded_vs_observed
I66_EB,AM,110N04166,EASTBOUND,61.000000,1,26751,30392,30213,0.040000,matched,97.260000,True,True,113.964100,5329.689450,False,True,False,1.000000,True,10,30392,30213,113.964100,0.000000,0.000000,-1.000000,0.000000,4000.000000,2000.000000,18.994000,0.009500,1.000000,40.000000,0.032500,0.000000,0.000000,0.000000,0.000000,73.811840,2000.000000,75.000000,56.250000,18.994017,0.009497,1.000001,-0.000017,0.000003,-0.000001,reconciled,2.000000,I-66,63228,VI1X,1,501,sov;hov2;hov3;com;apv,0.040000,2,5329.689450,8473.214437,12.000000,61.918027,110N04166,I-66,EASTBOUND,61.000000,1.000000,1.790000,1.260000,I-66,sov;hov2;hov3;com;apv,9.000000,2.000000,2000.000000,75.000000,501.000000,VI1X,63228.000000,"LINESTRING (-77.10083725027194 38.89292054471913, -77.10055699092679 38.893500141281734)",matched,97.260000,1.000000,0.040000,0.880900,1.790000,1.790000,1.260000,0.013450,-8359.250337,False,True,True,False,True,assignment_underloaded_vs_observed
I66_EB,AM,110N04164,EASTBOUND,65.000000,1,26747,30388,30210,0.170000,matched,95.250000,True,True,96.478000,4972.482910,False,True,False,1.000000,True,10,30388,30210,96.478000,0.000000,0.000000,-1.000000,0.000000,4000.000000,2000.000000,16.079700,0.008000,1.000000,73.958900,0.137900,0.000000,0.000000,0.000000,0.000000,73.958859,2000.000000,75.000000,56.250000,16.079667,0.008040,0.999998,0.000033,-0.000040,0.000002,reconciled,2.000000,I-66,47481,VI1X,1,501,sov;hov2;hov3;com;apv,0.170000,2,4972.482910,8931.272881,12.000000,55.403471,110N04164,I-66,EASTBOUND,65.000000,1.000000,5.880000,2.640000,I-66,sov;hov2;hov3;com;apv,9.000000,2.000000,2000.000000,75.000000,501.000000,VI1X,47481.000000,"LINESTRING (-77.07077821665162 38.898549459326986, -77.06839801447593 38.89708189824236)",matched,95.250000,1.000000,0.170000,0.898800,5.880000,5.880000,2.640000,0.010802,-8834.794881,False,True,True,False,True,assignment_underloaded_vs_observed
I66_EB,AM,110-04166,EASTBOUND,60.000000,1,26049,30134,30217,0.170000,matched,93.740000,True,True,113.964100,5329.689450,False,True,False,1.000000,True,10,30134,30217,113.964100,0.000000,0.000000,-1.000000,0.000000,4000.000000,2000.000000,40.580600,0.020300,0.468100,72.839700,0.140000,0.000000,0.000000,0.000000,0.000000,72.839725,2000.000000,75.000000,56.250000,40.576835,0.020288,0.468057,0.003765,0.000012,0.000043,review,2.000000,I-66,53170,VI1X,1,501,sov;hov2;hov3;com;apv,0.170000,2,5329.689450,9094.750921,12.000000,60.374114,110-04166,I-66,EASTBOUND,60.000000,1.000000,21.100000,7.350000,I-66,sov;hov2;hov3;com;apv,9.000000,2.000000,2000.000000,75.000000,501.000000,VI1X,53170.000000,"LINESTRING (-77.11426849115134 38.8881003524739, -77.11125876927329 38.88880891861252)",matched,93.740000,2.000000,0.820000,0.936100,4.480000,21.100000,3.670000,0.012531,-8980.786821,False,True,True,False,True,calculation_mismatch
