corridor,period,tmc_period_count,mean_abs_profile_duration_error_hours,median_abs_profile_duration_error_hours,max_abs_profile_duration_error_hours,within_15_min_share,mean_cbi_selected_doc,mean_taplite_doc,abs_duration_error_vs_abs_doc_difference_correlation
I395_NB,AM,23.000000,0.456522,0.000000,3.000000,0.782609,0.955510,1.055721,0.107017
I395_NB,MD,23.000000,1.923913,0.500000,6.000000,0.347826,,0.499867,
I395_NB,PM,23.000000,0.826087,0.000000,4.000000,0.739130,0.890639,0.999398,0.533156
I395_SB,AM,23.000000,0.478261,0.000000,3.000000,0.826087,,0.592645,
I395_SB,MD,23.000000,1.847826,0.000000,6.000000,0.608696,,0.462809,
I395_SB,PM,23.000000,0.771739,0.000000,4.000000,0.608696,0.817193,0.964280,0.606020
I495_CCW,AM,31.000000,0.387097,0.000000,3.000000,0.838710,,0.439534,
I495_CCW,MD,31.000000,1.258065,0.500000,6.000000,0.483871,,0.477986,
I495_CCW,PM,31.000000,0.725806,0.000000,4.000000,0.677419,1.089802,0.994610,-0.134734
I495_CW,AM,31.000000,0.669355,0.000000,3.000000,0.612903,1.282755,0.673361,0.510011
I495_CW,MD,31.000000,1.354839,0.500000,6.000000,0.483871,0.988477,0.533417,-0.534079
I495_CW,PM,31.000000,1.072581,0.000000,4.000000,0.709677,1.429028,0.817062,0.314501
I495_NB,AM,17.000000,0.044118,0.000000,0.750000,0.941176,0.391395,0.264725,
I495_NB,MD,17.000000,0.455882,0.000000,6.000000,0.823529,,0.656032,
I495_NB,PM,17.000000,0.485294,0.000000,4.000000,0.882353,1.971938,0.583199,-1.000000
I495_SB,AM,17.000000,0.000000,0.000000,0.000000,1.000000,,0.435046,
I495_SB,MD,17.000000,0.352941,0.000000,6.000000,0.941176,,0.610158,
I495_SB,PM,17.000000,0.235294,0.000000,4.000000,0.941176,,0.434263,
I66_EB,AM,74.000000,0.606164,0.000000,3.000000,0.675676,0.949405,0.428837,0.923518
I66_EB,MD,74.000000,1.807692,0.000000,6.000000,0.405405,0.252635,0.447404,
I66_EB,PM,74.000000,1.125000,0.000000,4.000000,0.445946,0.927219,0.514567,0.377373
I66_WB,AM,74.000000,0.058824,0.000000,3.000000,0.675676,0.679655,0.279721,
I66_WB,MD,74.000000,0.754902,0.000000,6.000000,0.554054,0.349602,0.439171,
I66_WB,PM,74.000000,0.804054,0.000000,4.000000,0.716216,1.190587,0.511750,0.491134
I95_NB,AM,27.000000,0.351852,0.000000,3.000000,0.814815,1.091825,1.121544,-0.442423
I95_NB,MD,27.000000,1.324074,0.000000,6.000000,0.592593,0.935798,0.658155,-0.858032
I95_NB,PM,27.000000,1.148148,0.500000,4.000000,0.481481,0.654311,1.053290,-0.481402
I95_SB,AM,27.000000,0.268519,0.000000,3.000000,0.851852,,0.760832,
I95_SB,MD,27.000000,1.240741,0.000000,6.000000,0.629630,,0.609113,
I95_SB,PM,27.000000,0.740741,0.000000,4.000000,0.666667,0.953800,1.224944,0.107829
US15_NB,AM,22.000000,0.068182,0.000000,1.250000,0.954545,7.218275,0.875666,
US15_NB,MD,22.000000,0.829545,0.000000,6.000000,0.727273,3.838658,1.000880,
US15_NB,PM,22.000000,0.272727,0.000000,4.000000,0.818182,1.266379,1.328443,-0.386670
US15_SB,AM,22.000000,0.090909,0.000000,1.750000,0.954545,1.010796,0.943347,
