corridor,profile_rows,profile_tmc,mapped_tmc,average_accepted_episodes,average_accepted_tmc,daily_accepted_episodes,calibrated_link_periods,selected_link_periods,ready_link_periods,assignment_links,coverage_status
I395_NB,2016,21,21,19,11,394,50,63,63,20,ready
I395_SB,1920,20,20,10,10,199,21,60,60,20,ready
I495_CCW,2784,29,29,17,17,420,54,87,87,29,ready
I495_CW,2784,29,29,15,14,378,56,87,87,29,ready
I495_NB,1536,16,16,1,1,33,8,48,48,16,ready
I495_SB,1536,16,16,0,0,0,0,48,48,16,ready
I66_EB,5472,57,57,24,22,540,71,171,171,56,ready
I66_WB,5376,56,56,15,15,326,40,168,168,56,ready
I95_NB,2400,25,25,22,14,400,61,75,75,25,ready
I95_SB,2304,24,24,13,13,300,46,72,72,24,ready
US15_NB,1440,15,15,5,5,101,20,45,45,15,ready
US15_SB,1440,15,15,5,5,101,13,45,45,15,ready
US1_NB,3552,37,37,23,22,565,76,111,111,37,ready
US1_SB,3456,36,36,24,24,609,67,108,108,35,ready
US29_NB,4416,46,46,28,27,759,107,138,138,46,ready
US29_SB,4608,48,48,35,34,800,101,144,144,48,ready
US50_EB,4896,51,51,29,26,655,80,153,153,50,ready
US50_WB,4800,50,50,20,19,556,73,150,150,50,ready
VA120_NB,1536,16,16,15,15,335,45,48,48,16,ready
VA120_SB,1632,17,17,12,12,291,39,51,51,17,ready
VA123_NB,3456,36,36,27,25,697,87,108,108,36,ready
VA123_SB,3552,37,37,24,24,542,62,111,111,37,ready
VA234_NB,2016,21,21,7,4,213,28,63,63,21,ready
VA234_SB,2112,22,22,7,7,205,29,66,66,22,ready
VA236_EB,1920,20,20,18,18,413,43,60,60,20,ready
VA236_WB,1920,20,20,16,15,413,49,60,60,20,ready
VA237_EB,960,10,10,7,7,189,22,30,30,10,ready
VA237_NB,96,1,1,1,1,24,2,3,3,1,ready
VA237_SB,96,1,1,1,1,22,1,3,3,1,ready
VA237_WB,960,10,10,9,9,204,28,30,30,10,ready
VA244_EB,1440,15,15,12,12,302,42,45,45,15,ready
VA244_WB,1440,15,15,10,10,287,32,45,45,15,ready
VA267_EB,3648,38,38,0,0,28,15,114,114,38,ready
VA267_WB,3648,38,38,1,1,19,5,114,114,38,ready
VA286_NB,4128,43,43,8,8,244,49,129,129,42,ready
VA286_SB,4224,44,44,15,13,334,45,132,132,44,ready
VA28_NB,3264,34,34,8,8,211,32,102,102,34,ready
VA28_SB,3072,32,32,12,12,236,33,96,96,32,ready
VA294_EB,1344,14,14,5,5,165,23,42,42,14,ready
VA294_WB,1440,15,15,4,4,132,21,45,45,15,ready
VA606_EB,1152,12,12,9,8,184,24,36,36,12,ready
VA606_NB,192,2,2,0,0,1,0,6,6,2,ready
VA606_SB,192,2,2,1,1,15,1,6,6,2,ready
VA606_WB,1152,12,12,9,7,218,22,36,36,12,ready
VA611_NB,1536,16,16,9,8,261,31,48,48,16,ready
VA611_SB,1632,17,17,9,7,272,32,51,51,17,ready
VA619_EB,384,4,4,0,0,37,6,12,12,4,ready
VA619_NB,960,10,10,3,3,68,9,30,30,10,ready
VA619_SB,960,10,10,4,4,70,9,30,30,10,ready
VA619_WB,288,3,3,1,1,23,3,9,9,3,ready
VA620_EB,2112,22,22,10,8,341,45,66,66,22,ready
VA620_WB,2112,22,22,12,10,392,43,66,66,22,ready
VA640_EB,1248,13,13,6,6,171,26,39,39,13,ready
VA640_WB,1632,17,17,8,8,220,30,51,51,17,ready
VA643_EB,480,5,5,7,4,140,15,15,15,4,ready
VA643_NB,1056,11,11,6,5,132,22,33,33,11,ready
VA643_SB,1056,11,11,7,5,187,24,33,33,11,ready
VA643_WB,480,5,5,4,3,80,10,15,15,4,ready
VA644_EB,1248,13,13,9,7,260,31,39,39,13,ready
VA644_WB,1248,13,13,10,8,266,29,39,39,12,ready
VA645_NB,1824,19,19,9,9,290,36,57,57,19,ready
VA645_SB,1824,19,19,9,6,274,35,57,57,19,ready
VA659_NB,1152,12,12,4,4,122,16,36,36,12,ready
VA659_SB,1152,12,12,5,5,126,16,36,36,12,ready
VA7_EB,6048,63,63,37,34,824,107,189,189,63,ready
VA7_WB,5856,61,61,32,31,779,103,183,183,61,ready
