corridor,period,n_selected_links,n_ready_links,P_A_mean,P_B_mean,P_C_mean,DC_obs_mean,DC_assignment_mean,duration_absolute_error_mean,projection_available
BROADLANDSBLVD_EB,AM,2,2,,,0.0,,0.24937608184523807,,True
BROADLANDSBLVD_EB,MD,2,2,,,0.0,,0.24236613913690477,,True
BROADLANDSBLVD_EB,PM,2,2,,,0.0,,0.20144746316964285,,True
BROADLANDSBLVD_WB,AM,2,2,,,0.0,,0.06288357426303855,,True
BROADLANDSBLVD_WB,MD,2,2,,,0.0,,0.10539201020408162,,True
BROADLANDSBLVD_WB,PM,2,2,,,0.0,,0.14296183375850338,,True
FAULKNERPKWY_EB,AM,2,2,,,0.0,,0.4622448055555556,,True
FAULKNERPKWY_EB,MD,2,2,,,0.0,,0.4986256319444444,,True
FAULKNERPKWY_EB,PM,2,2,,,0.0,,0.47424958333333334,,True
FAULKNERPKWY_WB,AM,1,1,,,0.0,,0.3875650555555556,,True
FAULKNERPKWY_WB,MD,1,1,,,0.0,,0.5815441388888889,,True
FAULKNERPKWY_WB,PM,1,1,,,0.0,,0.6537265416666667,,True
I395_NB,AM,21,21,3.4,3.476407062278079,1.237917619047619,0.9784861640299976,1.0042005944409635,0.8003729999999999,True
I395_NB,MD,21,21,,,0.0,,0.6421941726364524,,True
I395_NB,PM,21,21,4.027777777777778,4.082724233114142,1.4735600476190476,0.8547654434033221,0.7167448840904345,0.589471,True
I395_SB,AM,20,20,,,0.0,,0.5226175669407894,,True
I395_SB,MD,20,20,,,0.0,,0.530874496938962,,True
I395_SB,PM,20,20,3.65,3.7277162157029493,1.93310475,0.8171926612925942,0.7876838067900219,0.24917890000000015,True
I495_CCW,AM,29,29,,,0.0,,0.5519426669106674,,True
I495_CCW,MD,29,29,,,0.0,,0.6126434034087013,,True
I495_CCW,PM,29,29,5.352941176470588,5.491548754907523,2.2445928620689655,1.0822602294593056,0.5795412518322748,1.5239298235294119,True
I495_CW,AM,29,29,4.375,4.414430480121653,0.5010863793103448,1.2827551157781716,0.6144927805288366,1.9530825,True
I495_CW,MD,29,29,7.666666666666667,7.978756309098387,0.4143269655172414,0.9884772350620249,0.49280571484825564,3.6615059999999997,True
I495_CW,PM,29,29,8.083333333333334,8.399004925920702,0.8195602413793105,1.4676593829585383,0.5322715254798095,4.1221255,True
I495_NB,AM,1,1,,,0.0,,0.7900927208333333,,True
I495_NB,MD,1,1,,,0.0,,0.7613517895833334,,True
I495_NB,PM,1,1,,,0.0,,0.8728002312500001,,True
I495_SB,AM,1,1,,,0.0,,0.8516122375,,True
