corridor,tmc_code,road_order,selection_position,spatial_segment,observed_congestion_severity,observed_congested_interval_count,observed_speed_mean_mph,selection_override_applied,selection_override_replaced_tmc,network_link_id,network_from_node_id,network_to_node_id,network_match_distance_ft,network_bearing_diff_deg,network_match_score,network_node_pair_tmc_rank,network_selected_for_node_pair_lookup,network_mapping_status,primary_link_id,node_pair_tmc_rank,selected_for_node_pair_lookup,facility_class
BROADLANDSBLVD_EB,110+58122,2.0,all_eligible_1_of_2,1,0.0,0,36.520748576923076,False,,36713,38314,38500,0.0,12.66,76.97059712843546,1,True,mapped_primary_link,36713,1,True,gp
BROADLANDSBLVD_EB,110P58123,5.0,all_eligible_2_of_2,2,0.0,0,43.06836880769231,False,,37305,38500,38157,768.6,18.72,61.44320451283687,1,True,mapped_primary_link,37305,1,True,gp
BROADLANDSBLVD_WB,110N58123,1.0,all_eligible_1_of_2,1,0.0,0,39.1779795,False,,37001,38406,2303,799.4,5.7,53.60657783340568,1,True,mapped_primary_link,37001,1,True,gp
BROADLANDSBLVD_WB,110-58121,4.0,all_eligible_2_of_2,2,0.0,0,35.884587249999996,False,,37306,38500,38314,0.0,12.79,78.10421987887536,1,True,mapped_primary_link,37306,1,True,gp
FAULKNERPKWY_EB,110P58128,1.0,all_eligible_1_of_2,1,0.04383152503052502,49,30.192287153846152,False,,37313,38502,38503,1387.03,3.84,59.90038211471046,1,True,mapped_primary_link,37313,1,True,gp
FAULKNERPKWY_EB,110+58129,2.0,all_eligible_2_of_2,2,0.0,0,35.18622025,False,,36293,38158,38691,797.64,22.03,57.41164090071047,1,True,mapped_primary_link,36293,1,True,gp
FAULKNERPKWY_WB,110-58128,2.0,only,1,0.0,0,33.72827398076923,False,,36290,38158,38157,564.05,14.97,59.10010512140656,1,True,mapped_primary_link,36290,1,True,gp
I395_NB,110+04121,1.0,segment_1_most_congested,1,0.2627305833973089,37,34.41547176923077,False,,29007,34114,35496,6.01,0.64,87.4184572097139,1,True,mapped_primary_link,29007,1,True,gp
I395_NB,110+04123,5.0,segment_2_most_congested,2,0.07028149448195854,15,50.899140859999996,False,,28025,32154,32248,2.37,0.22,98.81005287351636,1,True,mapped_primary_link,28025,1,True,gp
I395_NB,110P04126,12.0,segment_3_most_congested,3,0.0015450170372263408,3,53.66393428846153,False,,26778,30413,30418,1.72,0.1,99.35295318815804,1,True,mapped_primary_link,26778,1,True,gp
I395_NB,110P04670,16.0,segment_4_most_congested,4,0.043597519072596944,21,45.36079559615385,False,,26230,30187,30207,0.0,2.88,95.92132755009624,1,True,mapped_primary_link,26230,1,True,gp
