corridor,sensor_uid,tmc_code,link_id,direction,observed_road_order,length_mi,lanes,capacity_vphpl,free_flow_speed_model_mph,speed_at_capacity_mph,period,run_id,episode_id,detector,aggregation_mode,network_link_type,network_mapping_status,lanes_source,capacity_source,reference_speed_source,date,weekday,t0_hour,t2_hour,t3_hour,P_hr,duration_min,threshold_used,freeflow_speed_mph,min_speed_mph,mean_speed_mph,episode_demand,qdf,plf,qdf_episode_demand,qdf_period_demand,qdf_clip_start_hour,qdf_clip_end_hour,qdf_period_start_hour,qdf_period_end_hour,qdf_period_duration_hours,qdf_integration_rule,capacity_reference_hours,capacity_volume_veh_per_lane,demand_capacity_ratio,demand_capacity_basis,flow_synthetic,demand_is_proxy,per_lane_hourly_capacity,mu_obs_vphpl,discharge_duration_min,discharge_window_valid,is_valid_for_mu,magnitude,severity,regime_label,accepted_episode_count,reconstruction_episode_count,overlap_excluded_episode_count,accepted_episode_windows_json,calibration_scope,f_d,n,f_p,s,alpha,beta,n_episodes,duration_r2,speed_r2,duration_rmse_hr,speed_rmse_mph,duration_bound_active,speed_bound_active,reliability,data_basis,network_road,network_direction,network_road_order,net_link_id,net_from_node_id,net_to_node_id,STREETNAME,network_length_mi,network_lanes,network_capacity,free_speed,link_type,network_sequence,cumulative_mi,network_match_distance_ft,network_bearing_diff_deg,route_link_count,tmc_miles,route_length_mi,length_ratio,match_confidence,match_status,geometry_overlap_pct,geometry_overlap_source,geometry_overlap_score,road_name_agreement_score,direction_compatibility_score,functional_class_compatibility_score,relative_position_score,observation_valid_speed_share,observation_interval_completeness_share,observation_weekday_coverage_share,observation_profile_bin_coverage_share,observation_quality_score,length_compatibility_score,composite_match_score,composite_available_weight,first_map_occurrence,link_tmc_rank,link_tmc_ranking_basis,tmc_link_rank,tmc_link_ranking_basis,node_pair_tmc_rank,node_pair_tmc_ranking_basis,selected_for_node_pair_lookup,node_pair_has_observed_candidate,node_pair_winner_has_observation,_map_occurrence,road_order,dc_dta_doc,dc_dta_vol,assignment_period_duration_hours,assignment_capacity_volume,assignment_volume,assignment_link_capacity,assignment_iteration,assignment_P_hour,assignment_t0_hour,assignment_t2_hour,assignment_t3_hour,assignment_boundary_source,assignment_curve_source,assignment_speed_profile_json,assignment_vt2_mph,assignment_mu_vphpl,assignment_free_speed_mph,assignment_cutoff_speed_mph,candidate_link_count,link_selection_basis,P_A,DC_obs,t2_obs,vt2_obs,P_B,P_C_vol,vt2_B,vt2_C_vol,projected_t0_hour,projected_t2_hour,projected_t3_hour,has_network_mapping,has_calibration,has_assignment,has_accepted_episode,has_assignment_boundaries,has_assignment_speed_profile,has_assignment_curve,projection_status,network_order
BROADLANDSBLVD_EB,BROADLANDSBLVD_EB::110+58122,110+58122,3,EASTBOUND,2.0,1.001578,2.0,700.0,45.0,31.5,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROADLANDS BLVD,EASTBOUND,2.0,36713,38314,38500,Broadlands Boulevard,1.21,2.0,700.0,46.0,303.0,1,1.21,0.0,12.66,1,1.001578,1.21,1.2081,75.72,matched,28.53,link_share_within_tmc_buffer,0.2853,1.0,0.975687787806105,0.7046880897187134,1.0,1.0,1.0,1.0,1.0,1.0,0.8277460475126232,76.97059712843546,1.0,1.0,1,highest_composite_match_score,1,highest_composite_match_score,1,highest_composite_match_score,True,True,True,1.0,2.0,0.3424,0.24815264285714284,3.0,4200.0,1042.2411,1400.0,10,0.0,0.0,0.0,0.0,taplite_link_performance,taplite_spd_profile,"{""time_minutes"":[360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535],""speed_mph"":[37.772827148,37.771668018,37.768280657,37.76280011,37.755361421,37.746099633,37.735149792,37.722646942,37.708726127,37.693522391,37.677170779,37.659806334,37.641564102,37.622579125,37.60298645,37.58292112,37.562518179,37.541912671,37.521239642,37.500634134,37.480231193,37.460165863,37.440573188,37.421588212,37.403345979,37.385981535,37.369629922,37.354426186,37.340505371,37.328002521,37.31705268,37.307790893,37.300352203,37.294871656,37.291484295,37.290429843]}",42.853073,700.0,46.0,34.5,1,frozen_node_pair_winner_with_period_coverage,,,,,,0.0,,42.853073,0.0,0.0,0.0,True,False,True,False,False,True,True,ready,2.001
BROADLANDSBLVD_EB,BROADLANDSBLVD_EB::110P58123,110P58123,2,EASTBOUND,5.0,0.044527,2.0,800.0,48.05,33.635,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROADLANDS BLVD,EASTBOUND,5.0,37305,38500,38157,Broadlands Boulevard/Shellhorn Road,0.98,2.0,800.0,40.0,404.0,1,0.98,768.6,18.72,1,0.044527,0.98,22.0091,0.0,review_length,0.0,link_share_within_tmc_buffer,0.0,1.0,0.9470983049947445,0.7046880897187134,1.0,1.0,1.0,1.0,1.0,1.0,0.0454357515754846,61.44320451283687,1.0,4.0,1,highest_composite_match_score,1,highest_composite_match_score,1,highest_composite_match_score,True,True,True,4.0,5.0,0.2583,0.2505995208333333,3.0,4800.0,1202.8777,1600.0,10,0.0,0.0,0.0,0.0,taplite_link_performance,taplite_spd_profile,"{""time_minutes"":[360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535],""speed_mph"":[43.986362457,43.987293363,43.990013776,43.994415243,44.000389307,44.007827514,44.016621409,44.026662537,44.037842442,44.05005267,44.063184766,44.077130274,44.091780741,44.107027709,44.122762726,44.138877335,44.155263081,44.17181151,44.188414167,44.204962596,44.221348343,44.237462952,44.253197968,44.268444937,44.283095403,44.297040912,44.310173007,44.322383235,44.333563141,44.343604269,44.352398163,44.35983637,44.365810435,44.370211901,44.372932315,44.372859771]}",38.180928,800.0,40.0,30.0,1,frozen_node_pair_winner_with_period_coverage,,,,,,0.0,,38.180928,0.0,0.0,0.0,True,False,True,False,False,True,True,ready,5.001
BROADLANDSBLVD_EB,BROADLANDSBLVD_EB::110+58122,110+58122,3,EASTBOUND,2.0,1.001578,2.0,700.0,45.0,31.5,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROADLANDS BLVD,EASTBOUND,2.0,36713,38314,38500,Broadlands Boulevard,1.21,2.0,700.0,46.0,303.0,1,1.21,0.0,12.66,1,1.001578,1.21,1.2081,75.72,matched,28.53,link_share_within_tmc_buffer,0.2853,1.0,0.975687787806105,0.7046880897187134,1.0,1.0,1.0,1.0,1.0,1.0,0.8277460475126232,76.97059712843546,1.0,1.0,1,highest_composite_match_score,1,highest_composite_match_score,1,highest_composite_match_score,True,True,True,1.0,2.0,0.3457,0.24537505952380956,6.0,8400.0,2061.1505,1400.0,10,0.0,0.0,0.0,0.0,taplite_link_performance,taplite_spd_profile,"{""time_minutes"":[540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700,705,710,715,720,725,730,735,740,745,750,755,760,765,770,775,780,785,790,795,800,805,810,815,820,825,830,835,840,845,850,855,860,865,870,875,880,885,890,895],""speed_mph"":[37.290258781,37.289752324,37.288055521,37.285267333,37.281420341,37.276547122,37.270680255,37.263852318,37.256095891,37.247443551,37.237927878,37.22758145,37.216436846,37.204526644,37.191883423,37.178539762,37.164528239,37.149881433,37.134631922,37.118812285,37.102455101,37.085592949,37.068258406,37.050484052,37.032302465,37.013746224,36.994847907,36.975640093,36.956155362,36.93642629,36.916485457,36.896365442,36.876098823,36.855718179,36.835256089,36.81474513,36.794217882,36.773706924,36.753244833,36.732864189,36.71259757,36.692477555,36.672536723,36.652807651,36.633322919,36.614115106,36.595216789,36.576660548,36.558478961,36.540704607,36.523370064,36.506507911,36.490150727,36.474331091,36.45908158,36.444434774,36.430423251,36.417079589,36.404436368,36.392526167,36.381381562,36.371035134,36.361519461,36.352867122,36.345110695,36.338282758,36.332415891,36.327542672,36.323695679,36.320907492,36.319210689,36.318637848]}",42.809561,700.0,46.0,34.5,1,frozen_node_pair_winner_with_period_coverage,,,,,,0.0,,42.809561,0.0,0.0,0.0,True,False,True,False,False,True,True,ready,2.001
BROADLANDSBLVD_EB,BROADLANDSBLVD_EB::110P58123,110P58123,2,EASTBOUND,5.0,0.044527,2.0,800.0,48.05,33.635,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROADLANDS BLVD,EASTBOUND,5.0,37305,38500,38157,Broadlands Boulevard/Shellhorn Road,0.98,2.0,800.0,40.0,404.0,1,0.98,768.6,18.72,1,0.044527,0.98,22.0091,0.0,review_length,0.0,link_share_within_tmc_buffer,0.0,1.0,0.9470983049947445,0.7046880897187134,1.0,1.0,1.0,1.0,1.0,1.0,0.0454357515754846,61.44320451283687,1.0,4.0,1,highest_composite_match_score,1,highest_composite_match_score,1,highest_composite_match_score,True,True,True,4.0,5.0,0.2171,0.23935721875,6.0,9600.0,2297.8293,1600.0,10,0.0,0.0,0.0,0.0,taplite_link_performance,taplite_spd_profile,"{""time_minutes"":[540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700,705,710,715,720,725,730,735,740,745,750,755,760,765,770,775,780,785,790,795,800,805,810,815,820,825,830,835,840,845,850,855,860,865,870,875,880,885,890,895],""speed_mph"":[44.372351968,44.370973647,44.362414483,44.348350065,44.328944729,44.30436281,44.274768646,44.240326571,44.201200921,44.157556033,44.109556243,44.057365886,44.001149298,43.941070816,43.877294775,43.809985511,43.73930736,43.665424658,43.588501742,43.508702946,43.426192607,43.341135061,43.253694644,43.164035692,43.07232254,42.978719525,42.883390983,42.786501249,42.688214659,42.58869555,42.488108258,42.386617117,42.284386465,42.181580637,42.07836397,41.974900798,41.871355458,41.767892287,41.664675619,41.561869791,41.459639139,41.358147998,41.257560706,41.158041597,41.059755007,40.962865273,40.867536731,40.773933716,40.682220564,40.592561612,40.505121195,40.420063649,40.33755331,40.257754514,40.180831598,40.106948896,40.036270745,39.968961481,39.90518544,39.845106958,39.78889037,39.736700013,39.688700223,39.645055335,39.605929685,39.57148761,39.541893446,39.517311527,39.497906191,39.483841773,39.47528261,39.475363163]}",38.362657,800.0,40.0,30.0,1,frozen_node_pair_winner_with_period_coverage,,,,,,0.0,,38.362657,0.0,0.0,0.0,True,False,True,False,False,True,True,ready,5.001
BROADLANDSBLVD_EB,BROADLANDSBLVD_EB::110+58122,110+58122,3,EASTBOUND,2.0,1.001578,2.0,700.0,45.0,31.5,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROADLANDS BLVD,EASTBOUND,2.0,36713,38314,38500,Broadlands Boulevard,1.21,2.0,700.0,46.0,303.0,1,1.21,0.0,12.66,1,1.001578,1.21,1.2081,75.72,matched,28.53,link_share_within_tmc_buffer,0.2853,1.0,0.975687787806105,0.7046880897187134,1.0,1.0,1.0,1.0,1.0,1.0,0.8277460475126232,76.97059712843546,1.0,1.0,1,highest_composite_match_score,1,highest_composite_match_score,1,highest_composite_match_score,True,True,True,1.0,2.0,0.3311,0.2043666607142857,4.0,5600.0,1144.4533,1400.0,10,0.0,0.0,0.0,0.0,taplite_link_performance,taplite_spd_profile,"{""time_minutes"":[900,905,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000,1005,1010,1015,1020,1025,1030,1035,1040,1045,1050,1055,1060,1065,1070,1075,1080,1085,1090,1095,1100,1105,1110,1115,1120,1125,1130,1135],""speed_mph"":[36.318637848,36.31861959,36.318565866,36.318478253,36.318358327,36.318207664,36.318027841,36.317820433,36.317587018,36.31732917,36.317048467,36.316746485,36.3164248,36.316084987,36.315728625,36.315357287,36.314972552,36.314575995,36.314169193,36.313753721,36.313331155,36.312903074,36.312471051,36.312036664,36.311601489,36.311167102,36.31073508,36.310306998,36.309884432,36.309468961,36.309062158,36.308665601,36.308280866,36.307909529,36.307553166,36.307213354,36.306891668,36.306589686,36.306308983,36.306051135,36.30581772,36.305610312,36.305430489,36.305279826,36.3051599,36.305072287,36.305018563,36.305000305]}",42.979902,700.0,46.0,34.5,1,frozen_node_pair_winner_with_period_coverage,,,,,,0.0,,42.979902,0.0,0.0,0.0,True,False,True,False,False,True,True,ready,2.001
BROADLANDSBLVD_EB,BROADLANDSBLVD_EB::110P58123,110P58123,2,EASTBOUND,5.0,0.044527,2.0,800.0,48.05,33.635,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROADLANDS BLVD,EASTBOUND,5.0,37305,38500,38157,Broadlands Boulevard/Shellhorn Road,0.98,2.0,800.0,40.0,404.0,1,0.98,768.6,18.72,1,0.044527,0.98,22.0091,0.0,review_length,0.0,link_share_within_tmc_buffer,0.0,1.0,0.9470983049947445,0.7046880897187134,1.0,1.0,1.0,1.0,1.0,1.0,0.0454357515754846,61.44320451283687,1.0,4.0,1,highest_composite_match_score,1,highest_composite_match_score,1,highest_composite_match_score,True,True,True,4.0,5.0,0.1912,0.19852826562499998,4.0,6400.0,1270.5809,1600.0,10,0.0,0.0,0.0,0.0,taplite_link_performance,taplite_spd_profile,"{""time_minutes"":[900,905,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000,1005,1010,1015,1020,1025,1030,1035,1040,1045,1050,1055,1060,1065,1070,1075,1080,1085,1090,1095,1100,1105,1110,1115,1120,1125,1130,1135],""speed_mph"":[39.475927035,39.477457547,39.492359598,39.516661964,39.549927422,39.591718748,39.641598718,39.699130107,39.763875692,39.835398248,39.913260553,39.997025381,40.086255509,40.180513713,40.279362768,40.382365452,40.489084539,40.599082806,40.711923029,40.827167984,40.944380447,41.063123194,41.182959001,41.303450643,41.424160898,41.544652541,41.664488348,41.783231095,41.900443558,42.015688513,42.128528736,42.238527003,42.34524609,42.448248774,42.547097829,42.641356033,42.730586161,42.814350989,42.892213294,42.96373585,43.028481435,43.086012824,43.135892794,43.177684119,43.210949578,43.235251944,43.250153995,43.255218506]}",38.662395,800.0,40.0,30.0,1,frozen_node_pair_winner_with_period_coverage,,,,,,0.0,,38.662395,0.0,0.0,0.0,True,False,True,False,False,True,True,ready,5.001
BROADLANDSBLVD_WB,BROADLANDSBLVD_WB::110N58123,110N58123,3,WESTBOUND,1.0,0.044775,7.0,3150.0,45.0,31.5,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sensor_period,3.1767731080605546,1.0567658183240918,0.0949568736952009,0.05,0.0536567600957885,0.0528382909162046,3,0.9999149684332324,-0.0665314284580693,0.0021734709410374,0.4749061444867459,False,True,low,daily,BROADLANDS BLVD,WESTBOUND,1.0,37001,38406,2303,0,0.53,7.0,3150.0,29.0,400.0,1,0.53,799.4,5.7,1,0.044775,0.53,11.837,0.0,review_length,0.0,link_share_within_tmc_buffer,0.0,0.5,0.9950555699612263,,1.0,1.0,1.0,1.0,1.0,1.0,0.0844808650840584,53.60657783340568,0.9,5.0,1,highest_composite_match_score,1,highest_composite_match_score,1,highest_composite_match_score,True,True,True,5.0,1.0,0.0013,0.001528077097505669,3.0,66150.0,101.0823,22050.0,10,0.0,0.0,0.0,0.0,taplite_link_performance,taplite_spd_profile,"{""time_minutes"":[360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535],""speed_mph"":[40.565681458,40.564264081,40.560122039,40.553420463,40.544324484,40.532999233,40.519609842,40.504321442,40.487299163,40.468708138,40.448713497,40.427480372,40.405173894,40.381959194,40.358001404,40.333465654,40.308517076,40.283320801,40.258041961,40.232845686,40.207897108,40.183361359,40.159403568,40.136188868,40.11388239,40.092649265,40.072654624,40.054063599,40.037041321,40.02175292,40.008363529,39.997038278,39.987942299,39.981240723,39.977098681,39.975856637]}",28.993952,3150.0,29.0,21.75,1,frozen_node_pair_winner_with_period_coverage,,,,,,0.0,,28.993952,0.0,0.0,0.0,True,True,True,False,False,True,True,ready,1.001
BROADLANDSBLVD_WB,BROADLANDSBLVD_WB::110-58121,110-58121,2,WESTBOUND,4.0,1.004727,2.0,700.0,45.0,31.5,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROADLANDS BLVD,WESTBOUND,4.0,37306,38500,38314,Broadlands Boulevard,1.21,2.0,700.0,46.0,303.0,1,1.21,0.0,12.79,1,1.004727,1.21,1.2043,75.6,matched,33.0,link_share_within_tmc_buffer,0.33,1.0,0.975188006960356,0.7046880897187134,1.0,1.0,1.0,1.0,1.0,1.0,0.830357884248111,78.10421987887536,1.0,8.0,1,highest_composite_match_score,1,highest_composite_match_score,1,highest_composite_match_score,True,True,True,8.0,4.0,0.2137,0.12423907142857142,3.0,4200.0,521.8041,1400.0,10,0.0,0.0,0.0,0.0,taplite_link_performance,taplite_spd_profile,"{""time_minutes"":[360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535],""speed_mph"":[37.083751678,37.081106367,37.073375895,37.060868453,37.043892232,37.022755425,36.997766224,36.969232819,36.937463402,36.902766165,36.865449299,36.825820997,36.784189449,36.740862847,36.696149384,36.650357249,36.603794636,36.556769735,36.509590739,36.462565838,36.416003224,36.37021109,36.325497626,36.282171025,36.240539477,36.200911174,36.163594309,36.128897072,36.097127655,36.06859425,36.043605048,36.022468241,36.005492021,35.992984579,35.985254106,35.982700371]}",44.282969,700.0,46.0,34.5,1,frozen_node_pair_winner_with_period_coverage,,,,,,0.0,,44.282969,0.0,0.0,0.0,True,False,True,False,False,True,True,ready,4.001
BROADLANDSBLVD_WB,BROADLANDSBLVD_WB::110N58123,110N58123,3,WESTBOUND,1.0,0.044775,7.0,3150.0,45.0,31.5,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROADLANDS BLVD,WESTBOUND,1.0,37001,38406,2303,0,0.53,7.0,3150.0,29.0,400.0,1,0.53,799.4,5.7,1,0.044775,0.53,11.837,0.0,review_length,0.0,link_share_within_tmc_buffer,0.0,0.5,0.9950555699612263,,1.0,1.0,1.0,1.0,1.0,1.0,0.0844808650840584,53.60657783340568,0.9,5.0,1,highest_composite_match_score,1,highest_composite_match_score,1,highest_composite_match_score,True,True,True,5.0,1.0,0.0029,0.0031431632653061226,6.0,132300.0,415.8405,22050.0,10,0.0,0.0,0.0,0.0,taplite_link_performance,taplite_spd_profile,"{""time_minutes"":[540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700,705,710,715,720,725,730,735,740,745,750,755,760,765,770,775,780,785,790,795,800,805,810,815,820,825,830,835,840,845,850,855,860,865,870,875,880,885,890,895],""speed_mph"":[39.975432351,39.97279476,39.96424457,39.950194896,39.930809903,39.906253755,39.876690615,39.842284647,39.803200014,39.759600881,39.711651411,39.659515767,39.603358113,39.543342613,39.479633431,39.41239473,39.341790674,39.267985426,39.191143151,39.111428011,39.029004171,38.944035794,38.856687044,38.767122085,38.675505079,38.582000192,38.486771586,38.389983425,38.291799873,38.192385094,38.091903251,37.990518508,37.888395028,37.785696975,37.682588513,37.579233806,37.475797017,37.372442309,37.269333848,37.166635795,37.064512315,36.963127572,36.862645729,36.763230949,36.665047397,36.568259237,36.473030631,36.379525743,36.287908738,36.198343779,36.110995029,36.026026652,35.943602812,35.863887672,35.787045397,35.713240149,35.642636093,35.575397392,35.511688209,35.45167271,35.395515056,35.343379412,35.295429942,35.251830808,35.212746176,35.178340208,35.148777068,35.12422092,35.104835927,35.090786253,35.082236062,35.082435486]}",28.989433,3150.0,29.0,21.75,1,frozen_node_pair_winner_with_period_coverage,,,,,,0.0,,28.989433,0.0,0.0,0.0,True,False,True,False,False,True,True,ready,1.001
BROADLANDSBLVD_WB,BROADLANDSBLVD_WB::110-58121,110-58121,2,WESTBOUND,4.0,1.004727,2.0,700.0,45.0,31.5,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROADLANDS BLVD,WESTBOUND,4.0,37306,38500,38314,Broadlands Boulevard,1.21,2.0,700.0,46.0,303.0,1,1.21,0.0,12.79,1,1.004727,1.21,1.2043,75.6,matched,33.0,link_share_within_tmc_buffer,0.33,1.0,0.975188006960356,0.7046880897187134,1.0,1.0,1.0,1.0,1.0,1.0,0.830357884248111,78.10421987887536,1.0,8.0,1,highest_composite_match_score,1,highest_composite_match_score,1,highest_composite_match_score,True,True,True,8.0,4.0,0.3304,0.20764085714285713,6.0,8400.0,1744.1832,1400.0,10,0.0,0.0,0.0,0.0,taplite_link_performance,taplite_spd_profile,"{""time_minutes"":[540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700,705,710,715,720,725,730,735,740,745,750,755,760,765,770,775,780,785,790,795,800,805,810,815,820,825,830,835,840,845,850,855,860,865,870,875,880,885,890,895],""speed_mph"":[35.982605277,35.982337867,35.981535356,35.980216669,35.978397216,35.976092403,35.97331764,35.970088334,35.966419895,35.962327729,35.957827245,35.952933852,35.947662958,35.942029971,35.936050298,35.929739349,35.923112532,35.916185254,35.908972924,35.90149095,35.893754741,35.885779705,35.877581249,35.869174782,35.860575713,35.851799449,35.842861399,35.833776971,35.824561573,35.815230613,35.8057995,35.796283642,35.786698447,35.777059323,35.767381678,35.757680921,35.74797246,35.738271703,35.728594059,35.718954935,35.709369739,35.699853881,35.690422768,35.681091808,35.67187641,35.662791982,35.653853932,35.645077668,35.636478599,35.628072132,35.619873677,35.61189864,35.604162431,35.596680457,35.589468127,35.58254085,35.575914032,35.569603083,35.563623411,35.557990423,35.552719529,35.547826136,35.543325652,35.539233487,35.535565047,35.532335741,35.529560978,35.527256166,35.525436712,35.524118025,35.523315514,35.523063498]}",42.99938,700.0,46.0,34.5,1,frozen_node_pair_winner_with_period_coverage,,,,,,0.0,,42.99938,0.0,0.0,0.0,True,False,True,False,False,True,True,ready,4.001
