corridor,period,net_link_id,tmc_code,projection_status,speed_mae_cbi_mph,speed_mae_assignment_projection_mph
I395_NB,AM,29007,110+04121,ready,3.009193063316578,2.7159477796294547
I395_NB,AM,32601,110P04121,ready,25.104641798418978,6.870225131752306
I395_NB,AM,32581,110P04120,ready,4.586080986067431,3.88706228232725
I395_NB,AM,28724,110+04122,ready,13.868021702532573,5.362271702532574
I395_NB,AM,28275,110P04122,ready,2.734812478867985,12.0754089451475
I395_NB,AM,28025,110+04123,ready,2.8013139694321456,10.050653782500273
I395_NB,AM,28285,110P04123,ready,2.2955886601211017,7.2330991675434175
I395_NB,AM,27878,110+04124,ready,3.1460588668621443,12.497435675446502
I395_NB,AM,26756,110P04124,ready,1.785544185024144,15.658763367193293
I395_NB,AM,26708,110+04125,ready,8.818427520547086,5.117923552293117
I395_NB,AM,26768,110P04125,ready,7.779458733295689,4.38535873329569
I395_NB,AM,26423,110+04126,ready,13.578278240479326,5.073475210176295
I395_NB,AM,26778,110P04126,ready,14.25603641225924,5.359641484723007
I395_NB,AM,26424,110+04127,ready,11.637163208168644,4.193246541501977
I395_NB,AM,26424,110P04127,ready,10.18610836627141,3.152391304347826
I395_NB,AM,26274,110+04670,ready,12.63239229249012,1.3798752964426846
I395_NB,AM,26230,110P04670,ready,2.8832300752698337,5.994185851249079
I395_NB,AM,26297,110P04128,ready,2.4882141352899683,4.2580592618303115
I395_NB,AM,26825,110+04129,ready,2.6496362943647265,6.565063476101437
I395_NB,AM,26501,110+04130,ready,39.664065593826464,6.236540231507623
I395_NB,AM,26469,110P04130,ready,42.04573566244333,6.319652329109996
I395_NB,MD,29007,110+04121,ready,26.99756422924901,11.944908596837942
I395_NB,MD,32601,110P04121,ready,18.509686233452538,5.733317554426249
I395_NB,MD,32581,110P04120,ready,13.758840658134138,14.864147978229502
I395_NB,MD,28724,110+04122,ready,5.398081357048748,5.189710309617919
I395_NB,MD,28275,110P04122,ready,3.282995546943176,7.330777180329552
I395_NB,MD,28025,110+04123,ready,4.926185139794329,10.469913674434919
I395_NB,MD,28285,110P04123,ready,7.188559351276743,8.667493679026288
I395_NB,MD,27878,110+04124,ready,4.982872492392872,8.842551420650606
I395_NB,MD,26756,110P04124,ready,4.5752375658761535,8.186804100790512
I395_NB,MD,26708,110+04125,ready,1.6429734848484845,3.5192863965744414
I395_NB,MD,26768,110P04125,ready,1.8066127580149323,2.655137241985068
I395_NB,MD,26423,110+04126,ready,7.740641674901184,2.952823904808961
I395_NB,MD,26778,110P04126,ready,7.325775103519668,3.328641563146999
I395_NB,MD,26424,110+04127,ready,3.4718486495388667,5.034552865612649
I395_NB,MD,26424,110P04127,ready,6.123443773919317,3.340239197095174
I395_NB,MD,26274,110+04670,ready,7.8666695487483524,5.552498929512516
I395_NB,MD,26230,110P04670,ready,13.239218955862976,10.334781044137024
